network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9828291316526612,0.9694444444444444,,0.0,0.0
Brysting_2007,0.9962962962962962,,0.05555555555555555,0.05555555555555556,0.05555555555555556
Diaz-Perez_2018,0.888888888888889,,,,
Ding_2023,1.0,0.0,1.0,1.0,1.0
Hori_2014,0.9568027210884354,,0.0,0.0,0.0
Koenen_2020,0.4333333333333334,0.6,0.96,0.96,0.96
Lawrence_2016,0.965117845117845,,,,0.24
Liang_2019,1.0,,0.0,0.0,0.004166666666666667
Liu_2023,0.9873737373737373,0.986111111111111,,,0.0
Marcussen_2011,0.9199999999999999,,,,
Marcussen_2012,1.0,,,,
Marcussen_2015,0.9285714285714286,,,,
Popp_2005,0.17142857142857143,,0.0,0.0,0.5
Ren_2024,0.6761904761904762,,0.6904761904761905,0.6904761904761905,0.6976190476190476
Sessa_2012b,1.0,,,,0.025
Shahrestani_2015,0.6,1.0,0.0,0.0,0.0
Soza_2014,1.0,,,,
Wisecaver_2023,0.4,,0.0,0.0,0.0
Wu_2015,0.9398046398046398,0.9878571428571428,0.0,0.0,0.0
Zhao_2021,0.175,,0.9948979591836734,0.9948979591836735,0.9948979591836735
