network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.011023742608544381,0.028463752127665522,,0.0,0.0
Brysting_2007,0.008281733249999215,,0.0,0.0,0.0
Diaz-Perez_2018,0.0,,0.0,0.0,0.0
Ding_2023,0.0,0.0,0.0,0.0,0.0
Hori_2014,0.055833102811163625,,0.0,0.0,0.0
Koenen_2020,0.4346134936801766,0.5477225575051661,0.0,0.0,0.0
Lawrence_2016,0.020805519984511148,,,,0.1341640786499874
Liang_2019,0.0,,0.0,0.0,0.009316949906249122
Liu_2023,0.024221371329862205,0.01964185503295965,,,0.0
Marcussen_2011,0.1095445115010332,,0.0,0.0,0.0
Marcussen_2012,0.0,,,,
Marcussen_2015,0.0,,,,
Popp_2005,0.383325938999964,,0.0,0.0,0.0
Ren_2024,0.02129588549999804,,0.0,0.0,0.009780759955449428
Sessa_2012b,0.0,,,,0.013975424859373685
Shahrestani_2015,0.13693063937629152,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,
Wisecaver_2023,0.5477225575051662,,0.0,0.0,0.0
Wu_2015,0.05919078121960727,0.01705333769473332,0.0,0.0,0.0
Zhao_2021,0.2554102092712819,,0.0,0.0,0.0
