network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9750 ± 0.0228 (5),0.9901 ± 0.0181 (5),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (5)
Brysting_2007,0.9944 ± 0.0124 (5),N/A ± 0 (0),0.1512 ± 0.0000 (1),0.1043 ± 0.0262 (5),0.1099 ± 0.0241 (5)
Diaz-Perez_2018,0.9444 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Ding_2023,1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5)
Hori_2014,0.9587 ± 0.0039 (5),N/A ± 0 (0),0.0571 ± 0.0205 (5),0.0667 ± 0.0174 (5),0.0746 ± 0.0300 (5)
Koenen_2020,0.4056 ± 0.3907 (5),0.6250 ± 0.5154 (5),0.9800 ± 0.0068 (5),0.9725 ± 0.0056 (5),0.9775 ± 0.0056 (5)
Lawrence_2016,0.9822 ± 0.0379 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.3249 ± 0.0481 (5)
Liang_2019,1.0000 ± 0.0000 (5),N/A ± 0 (0),0.0892 ± 0.0604 (5),0.0840 ± 0.0522 (5),0.1038 ± 0.0550 (5)
Liu_2023,0.9369 ± 0.0243 (5),0.9981 ± 0.0043 (5),N/A ± 0 (0),N/A ± 0 (0),0.3000 ± 0.0232 (5)
Marcussen_2011,0.9530 ± 0.0575 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9695 ± 0.0156 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.4000 ± 0.1491 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.1000 ± 0.0913 (5),0.5833 ± 0.0000 (5)
Ren_2024,0.7060 ± 0.0879 (5),N/A ± 0 (0),0.7545 ± 0.0220 (5),0.7681 ± 0.0168 (5),0.7846 ± 0.0116 (5)
Sessa_2012b,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.1139 ± 0.0408 (5)
Shahrestani_2015,0.6900 ± 0.0822 (5),1.0000 ± 0.0000 (4),0.2000 ± 0.1118 (5),0.0000 ± 0.0000 (5),0.1000 ± 0.1369 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.4700 ± 0.3012 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9382 ± 0.0594 (5),0.9915 ± 0.0123 (5),0.1012 ± 0.1391 (5),0.0971 ± 0.1330 (5),0.1179 ± 0.1624 (5)
Zhao_2021,0.3125 ± 0.2856 (5),N/A ± 0 (0),0.9952 ± 0.0000 (3),0.9929 ± 0.0048 (4),0.9890 ± 0.0138 (5)
