network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.975,0.990079365079365,,0.0,0.0
Brysting_2007,0.9944444444444445,,0.15123456790123457,0.10432098765432099,0.10987654320987654
Diaz-Perez_2018,0.9444444444444444,,0.11018518518518519,0.11018518518518519,0.11018518518518519
Ding_2023,1.0,0.0,1.0,1.0,1.0
Hori_2014,0.9587145969498911,,0.05714285714285715,0.06666666666666668,0.0746031746031746
Koenen_2020,0.40555555555555556,0.625,0.9800000000000001,0.9724999999999999,0.9775
Lawrence_2016,0.9822368421052632,,,,0.3248809523809523
Liang_2019,1.0,,0.08920304232804233,0.08404431216931217,0.1037632275132275
Liu_2023,0.9368589743589743,0.998076923076923,,,0.3
Marcussen_2011,0.953,,0.015,0.015,0.015
Marcussen_2012,1.0,,,,
Marcussen_2015,0.9694727891156463,,,,
Popp_2005,0.39999999999999997,,0.0,0.1,0.5833333333333334
Ren_2024,0.7059829059829059,,0.7545238095238095,0.768095238095238,0.7846031746031746
Sessa_2012b,1.0,,,,0.11388888888888889
Shahrestani_2015,0.6900000000000001,1.0,0.2,0.0,0.1
Soza_2014,1.0,,,,
Wisecaver_2023,0.47000000000000003,,0.0,0.0,0.0
Wu_2015,0.9381944444444444,0.9915178571428571,0.10124999999999999,0.09708333333333333,0.11791666666666667
Zhao_2021,0.3125,,0.9952380952380953,0.9928571428571429,0.9890476190476191
