network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.02282177322938193,0.01807625710147676,,0.0,0.0
Brysting_2007,0.012422599874998826,,0.0,0.026225488624997538,0.02414026197316232
Diaz-Perez_2018,0.0,,0.012422599874998835,0.012422599874998835,0.012422599874998835
Ding_2023,0.0,0.0,0.0,0.0,0.0
Hori_2014,0.0038782098298295446,,0.020543141437372677,0.017388017698576713,0.030012175239982595
Koenen_2020,0.3906705220388703,0.5153882032022076,0.006846531968814626,0.005590169943749443,0.005590169943749501
Lawrence_2016,0.03790752708128403,,,,0.04807888099972732
Liang_2019,0.0,,0.06039632105232344,0.05221352984493208,0.05495162626907717
Liu_2023,0.024293518668765664,0.004300130725961119,,,0.023240556292613207
Marcussen_2011,0.05751086853804238,,0.03354101966249685,0.03354101966249685,0.03354101966249685
Marcussen_2012,0.0,,,,
Marcussen_2015,0.015602640881312085,,,,
Popp_2005,0.14907119849998596,,0.0,0.09128709291752768,0.0
Ren_2024,0.08791378373076102,,0.021957751641341994,0.01680217025178798,0.011561349770506891
Sessa_2012b,0.0,,,,0.04083276495966865
Shahrestani_2015,0.0821583836257749,0.0,0.11180339887498948,0.0,0.13693063937629152
Soza_2014,0.0,,,,
Wisecaver_2023,0.3012474066278414,,0.0,0.0,0.0
Wu_2015,0.05935367550789334,0.012266635414316157,0.13908181045701123,0.13303677958452775,0.16235035845013984
Zhao_2021,0.28555729503901667,,0.0,0.004761904761904745,0.013842325574998666
