network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9905 ± 0.0130 (5),0.4300 ± 0.0622 (5),0.9265 ± 0.0429 (5),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (5)
Brysting_2007,N/A ± 0 (0),0.7009 ± 0.0528 (5),N/A ± 0 (0),0.0345 ± 0.0000 (1),0.0161 ± 0.0103 (5),0.0161 ± 0.0103 (5)
Diaz-Perez_2018,N/A ± 0 (0),0.6324 ± 0.0242 (5),N/A ± 0 (0),0.0190 ± 0.0261 (5),0.0190 ± 0.0261 (5),0.0190 ± 0.0261 (5)
Ding_2023,0.9544 ± 0.0417 (5),0.2190 ± 0.2249 (5),0.1810 ± 0.0522 (5),0.1933 ± 0.0149 (5),0.1933 ± 0.0149 (5),0.1861 ± 0.0311 (5)
Hori_2014,N/A ± 0 (0),0.8526 ± 0.0235 (5),N/A ± 0 (0),0.0213 ± 0.0000 (5),0.0213 ± 0.0000 (5),0.0213 ± 0.0000 (5)
Koenen_2020,0.9886 ± 0.0256 (5),0.1515 ± 0.1469 (5),0.2864 ± 0.1597 (5),0.0959 ± 0.0139 (5),0.0908 ± 0.0114 (5),0.0803 ± 0.0120 (5)
Lawrence_2016,N/A ± 0 (0),0.5221 ± 0.0232 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0175 ± 0.0115 (5)
Liang_2019,N/A ± 0 (0),0.8605 ± 0.0329 (5),N/A ± 0 (0),0.0651 ± 0.0510 (5),0.0632 ± 0.0474 (5),0.0671 ± 0.0449 (5)
Liu_2023,0.9727 ± 0.0154 (5),0.3182 ± 0.0855 (5),0.7919 ± 0.0473 (5),N/A ± 0 (0),N/A ± 0 (0),0.0690 ± 0.0000 (5)
Marcussen_2011,N/A ± 0 (0),0.7000 ± 0.1423 (5),N/A ± 0 (0),0.0041 ± 0.0091 (5),0.0041 ± 0.0091 (5),0.0041 ± 0.0091 (5)
Marcussen_2012,N/A ± 0 (0),0.7253 ± 0.0275 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.5300 ± 0.0274 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,N/A ± 0 (0),0.2480 ± 0.2008 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0462 ± 0.0421 (5),0.0769 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),0.2706 ± 0.0530 (5),N/A ± 0 (0),0.2129 ± 0.0080 (5),0.2018 ± 0.0103 (5),0.1826 ± 0.0108 (5)
Sessa_2012b,N/A ± 0 (0),0.7008 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0425 ± 0.0349 (5)
Shahrestani_2015,0.6524 ± 0.1535 (5),0.4857 ± 0.4695 (5),0.5556 ± 0.2566 (4),0.3429 ± 0.1917 (5),0.0000 ± 0.0000 (5),0.1714 ± 0.2347 (5)
Soza_2014,N/A ± 0 (0),0.7922 ± 0.0085 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,1.0000 ± 0.0000 (5),0.3286 ± 0.1930 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9668 ± 0.0185 (5),0.5122 ± 0.1035 (5),0.6687 ± 0.0561 (5),0.1000 ± 0.1369 (5),0.1000 ± 0.1369 (5),0.1000 ± 0.1369 (5)
Zhao_2021,0.9879 ± 0.0271 (5),0.1586 ± 0.2020 (5),N/A ± 0 (0),0.3000 ± 0.0000 (3),0.2910 ± 0.0104 (4),0.2428 ± 0.0205 (5)
