network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9905322128851541,0.43,0.9265238007132414,,0.0,0.0
Brysting_2007,,0.7008525149190111,,0.034482758620689655,0.016091954022988506,0.016091954022988506
Diaz-Perez_2018,,0.6324324324324324,,0.019047619047619046,0.019047619047619046,0.019047619047619046
Ding_2023,0.9543703703703704,0.21904761904761907,0.18095238095238092,0.19333333333333333,0.19333333333333333,0.18608695652173915
Hori_2014,,0.8526315789473683,,0.02127659574468085,0.02127659574468085,0.02127659574468085
Koenen_2020,0.9885714285714287,0.15151515151515152,0.2863636363636363,0.09587301587301586,0.09079365079365079,0.08033613445378152
Lawrence_2016,,0.522077922077922,,,,0.017471479918737303
Liang_2019,,0.8604651162790699,,0.06505201055736687,0.06315789473684211,0.06710138177301661
Liu_2023,0.9726714094236518,0.3182389937106918,0.7918979266347688,,,0.06896551724137931
Marcussen_2011,,0.7,,0.004081632653061224,0.004081632653061224,0.004081632653061224
Marcussen_2012,,0.7253012048192771,,,,
Marcussen_2015,,0.53,,,,
Popp_2005,,0.248,,0.0,0.046153846153846156,0.07692307692307693
Ren_2024,,0.27056451612903226,,0.21289640591966172,0.2017718715393134,0.18257839721254357
Sessa_2012b,,0.7007874015748031,,,,0.04245474613686534
Shahrestani_2015,0.6523809523809524,0.48571428571428577,0.5555555555555556,0.34285714285714286,0.0,0.17142857142857143
Soza_2014,,0.7922480620155039,,,,
Wisecaver_2023,1.0,0.32857142857142857,,0.0,0.0,0.0
Wu_2015,0.9668367346938777,0.5121951219512195,0.6687103594080338,0.1,0.1,0.1
Zhao_2021,0.9878787878787879,0.15862068965517243,,0.3,0.291025641025641,0.2428006954322744
