network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.012964679689151078,0.06224949798994367,0.042946365628355354,,0.0,0.0
Brysting_2007,,0.052766817058679846,,0.0,0.01028077231034386,0.01028077231034386
Diaz-Perez_2018,,0.0241737078648626,,0.02608202654786505,0.02608202654786505,0.02608202654786505
Ding_2023,0.04172415786800539,0.22487083720223988,0.0521640530957301,0.014907119849998604,0.014907119849998604,0.03111051099130143
Hori_2014,,0.023537557657892578,,0.0,0.0,0.0
Koenen_2020,0.0255550625999976,0.14689938961867663,0.15965021633195273,0.013910414158861356,0.011357805599998928,0.01202591181176358
Lawrence_2016,,0.023231875090906927,,,,0.011461639265821706
Liang_2019,,0.032888687497048694,,0.05104704369837367,0.047400898547741384,0.04485972932368518
Liu_2023,0.01541756943345347,0.08551043766342835,0.04729377263688116,,,0.0
Marcussen_2011,,0.14229523493180482,,0.009126808071427713,0.009126808071427713,0.009126808071427713
Marcussen_2012,,0.02747410662889491,,,,
Marcussen_2015,,0.027386127875258348,,,,
Popp_2005,,0.2007984063681781,,0.0,0.04213250442347432,0.0
Ren_2024,,0.05298623380600711,,0.008036607952959065,0.010311498867760607,0.010814498812529402
Sessa_2012b,,0.0,,,,0.03494482770161105
Shahrestani_2015,0.15350014751942673,0.46947647786157093,0.2566001196398337,0.19166296949998196,0.0,0.23473823893078546
Soza_2014,,0.008491822596979327,,,,
Wisecaver_2023,0.0,0.19298937265866137,,0.0,0.0,0.0
Wu_2015,0.01854248510829637,0.1034790411492509,0.05609314182486462,0.13693063937629152,0.13693063937629152,0.13693063937629152
Zhao_2021,0.0271038542727247,0.2019524201978803,,0.0,0.01036269713930096,0.020469331296664575
