method,metric,avg_value,avg_rank,num_best,num_worst,num_networks
grampa,edit_distance,0.8979580183111653,2.0,12,9,20
polyphest_p50,edit_distance,0.8582968508331322,2.0,5,1,11
polyphest_p70,edit_distance,0.8581344779357849,2.5,1,1,12
polyphest_p90,edit_distance,0.8751646732837475,2.533333333333333,2,3,15
mpsugar,edit_distance,1.1835077347238425,4.5,0,6,6
polyphest_p50,num_rets_diff,2.6363636363636362,1.9090909090909092,3,0,11
grampa,num_rets_diff,7.340000000000001,2.05,10,10,20
polyphest_p70,num_rets_diff,2.4166666666666665,2.5,2,0,12
polyphest_p90,num_rets_diff,2.08,3.0,4,6,15
mpsugar,num_rets_diff,3.533333333333333,3.3333333333333335,1,4,6
polyphest_p50,ploidy_diff.dist,0.0,1.3636363636363635,7,0,11
polyphest_p70,ploidy_diff.dist,0.0,1.6666666666666667,4,0,12
polyphest_p90,ploidy_diff.dist,0.0,2.466666666666667,4,0,15
grampa,ploidy_diff.dist,0.8107993102618467,2.9,5,14,20
mpsugar,ploidy_diff.dist,1.1688095238095237,4.5,0,6,6
polyphest_p50,ret_leaf_jaccard.dist,0.3364481550195836,1.7272727272727273,5,0,11
polyphest_p70,ret_leaf_jaccard.dist,0.3084108087679516,2.3333333333333335,2,0,12
grampa,ret_leaf_jaccard.dist,0.8010818534873158,2.4,8,13,20
polyphest_p90,ret_leaf_jaccard.dist,0.29848261526832953,2.933333333333333,4,5,15
mpsugar,ret_leaf_jaccard.dist,0.7572354497354498,3.0,1,2,6
polyphest_p70,ret_sisters_jaccard.dist,0.3487973067313345,2.0833333333333335,4,0,12
grampa,ret_sisters_jaccard.dist,0.8318202498700785,2.3,8,11,20
polyphest_p50,ret_sisters_jaccard.dist,0.3935083974667307,2.4545454545454546,3,2,11
polyphest_p90,ret_sisters_jaccard.dist,0.3719609053497942,2.6,4,3,15
mpsugar,ret_sisters_jaccard.dist,0.7674456908831909,3.3333333333333335,1,4,6
