method,metric,network_property,correlation,p_value,significant,n_networks
mpsugar,num_rets_diff,num_reticulations,0.9983014317963865,4.325250615101239e-06,True,6
grampa,num_rets_diff,num_reticulations,0.9977536307297181,1.372023592634397e-22,True,20
grampa,num_rets_diff,num_polyploids,0.702058621662752,0.0005593057190212197,True,20
grampa,num_rets_diff,num_species,0.6353038421559115,0.002612843102978003,True,20
grampa,num_rets_diff,max_copies,0.5479911584865174,0.01237027629849883,True,20
grampa,edit_distance,num_reticulations,0.4567055326179015,0.04294275979666662,True,20
mpsugar,num_rets_diff,num_polyploids,0.5699824240822214,0.23761429851725638,False,6
mpsugar,num_rets_diff,num_species,0.5278983568676476,0.2817089441618994,False,6
polyphest_p70,edit_distance,num_species,0.4249316317989701,0.1298799149647287,False,14
polyphest_p90,edit_distance,num_species,0.3547204981939942,0.1623911020879257,False,17
mpsugar,edit_distance,num_reticulations,0.3412790467266671,0.5079560519985082,False,6
grampa,edit_distance,max_copies,0.33398557439567356,0.15010344852731075,False,20
polyphest_p90,edit_distance,max_copies,0.33313605708902044,0.1913365893015568,False,17
polyphest_p50,edit_distance,max_copies,0.2934661267600458,0.330479381842945,False,13
polyphest_p70,edit_distance,max_copies,0.2775345106829746,0.3367145912312319,False,14
grampa,edit_distance,num_species,0.25068309594618665,0.2864042349398169,False,20
polyphest_p90,edit_distance,num_polyploids,0.190109102991568,0.4648762244295832,False,17
polyphest_p70,edit_distance,num_polyploids,0.1820197447640028,0.5334184681809949,False,14
grampa,edit_distance,num_polyploids,0.17162799564134051,0.4693618857585138,False,20
polyphest_p70,num_rets_diff,num_polyploids,0.16700789740314506,0.5682309999580126,False,14
polyphest_p50,num_rets_diff,num_polyploids,0.15227729944019072,0.6194466706859505,False,13
polyphest_p90,num_rets_diff,num_polyploids,0.10719483497639778,0.6821772824904435,False,17
polyphest_p50,edit_distance,num_polyploids,0.0466805684325216,0.8796358749197045,False,13
polyphest_p50,edit_distance,num_species,0.02663050675055718,0.9311827877053828,False,13
polyphest_p90,edit_distance,num_reticulations,-0.007970652456213471,0.9757792895905901,False,17
polyphest_p70,edit_distance,num_reticulations,-0.043881567174458784,0.8815915778303597,False,14
mpsugar,edit_distance,num_species,-0.11942797243599564,0.821709744355832,False,6
polyphest_p50,num_rets_diff,num_species,-0.1539292886977646,0.615605794274329,False,13
polyphest_p70,num_rets_diff,num_species,-0.21748577173612627,0.45512468275948287,False,14
polyphest_p50,edit_distance,num_reticulations,-0.22734200040741726,0.4550839854918261,False,13
polyphest_p90,num_rets_diff,max_copies,-0.24063312406679158,0.3521866473749964,False,17
polyphest_p70,num_rets_diff,max_copies,-0.28381462965482745,0.3254353549950135,False,14
polyphest_p90,num_rets_diff,num_species,-0.28685002719271324,0.26429792693809145,False,17
polyphest_p50,num_rets_diff,max_copies,-0.33292200852100484,0.2663499399688476,False,13
polyphest_p70,num_rets_diff,num_reticulations,-0.3740783776310306,0.18762563918513703,False,14
polyphest_p50,num_rets_diff,num_reticulations,-0.3796156930464849,0.20076997536114868,False,13
polyphest_p90,num_rets_diff,num_reticulations,-0.3987930717770334,0.11282293167493809,False,17
mpsugar,edit_distance,num_polyploids,-0.4558290666120025,0.3636125132573136,False,6
mpsugar,edit_distance,max_copies,,,False,6
mpsugar,num_rets_diff,max_copies,,,False,6
