Network,H_Strict,H_Relaxed,Num_Polyploids,Total_WGD,alloppnet_CompRate_%,alloppnet_EditDist_MULtree,alloppnet_RF,grampa_CompRate_%,grampa_EditDist_MULtree,grampa_RF,mpsugar_CompRate_%,mpsugar_EditDist_MULtree,mpsugar_RF,padre_CompRate_%,padre_EditDist_MULtree,padre_RF,polyphest_p50_CompRate_%,polyphest_p50_EditDist_MULtree,polyphest_p50_RF,polyphest_p70_CompRate_%,polyphest_p70_EditDist_MULtree,polyphest_p70_RF,polyphest_p90_CompRate_%,polyphest_p90_EditDist_MULtree,polyphest_p90_RF
Bendiksby_2011,6,6,6,6,100.0000,0.8634,0.9905,100.0000,0.9276,0.4300,100.0000,0.8976,0.9265,0.0000,,,0.0000,,,40.0000,0.6831,0.0000,100.0000,0.6842,0.0000
Brysting_2007,18,18,17,18,0.0000,,,100.0000,0.9059,0.7009,0.0000,,,0.0000,,,20.0000,0.5730,0.0345,100.0000,0.5427,0.0161,100.0000,0.5384,0.0161
Diaz-Perez_2018,9,9,9,12,0.0000,,,100.0000,0.8909,0.6324,0.0000,,,0.0000,,,100.0000,0.5421,0.0190,100.0000,0.5421,0.0190,100.0000,0.5421,0.0190
Ding_2023,0,0,7,1,100.0000,0.8164,0.9544,100.0000,0.5848,0.2190,100.0000,0.7918,0.1810,0.0000,,,100.0000,0.4932,0.1933,100.0000,0.4493,0.1933,100.0000,0.4329,0.1861
Hori_2014,7,7,7,7,0.0000,,,100.0000,0.9232,0.8526,0.0000,,,0.0000,,,100.0000,0.4343,0.0213,100.0000,0.4419,0.0213,100.0000,0.4267,0.0213
Koenen_2020,1,1,5,1,100.0000,0.8180,0.9886,100.0000,0.6984,0.1515,100.0000,0.6944,0.2864,0.0000,,,100.0000,0.4360,0.0959,100.0000,0.4809,0.0908,100.0000,0.4629,0.0803
Lawrence_2016,4,4,5,4,0.0000,,,100.0000,0.8421,0.5221,0.0000,,,0.0000,,,0.0000,,,0.0000,,,100.0000,0.6058,0.0175
Liang_2019,24,24,24,24,0.0000,,,100.0000,0.9772,0.8605,0.0000,,,0.0000,,,100.0000,0.6312,0.0651,100.0000,0.5603,0.0632,100.0000,0.6194,0.0671
Liu_2023,6,6,8,8,100.0000,0.9173,0.9727,100.0000,0.8714,0.3182,100.0000,0.9489,0.7919,0.0000,,,0.0000,,,0.0000,,,100.0000,0.5444,0.0690
Marcussen_2011,5,5,7,9,0.0000,,,100.0000,0.8059,0.7000,0.0000,,,0.0000,,,100.0000,0.7496,0.0041,100.0000,0.7437,0.0041,100.0000,0.7526,0.0041
Marcussen_2012,9,9,35,9,0.0000,,,100.0000,0.9718,0.7253,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Marcussen_2015,14,14,13,14,0.0000,,,100.0000,0.9320,0.5300,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Morales-Briones_2021,48,44,49,48,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Popp_2005,1,1,3,3,0.0000,,,100.0000,0.8159,0.2480,0.0000,,,0.0000,,,100.0000,0.4185,0.0000,100.0000,0.4185,0.0462,100.0000,0.5538,0.0769
Ren_2024,3,3,7,3,0.0000,,,100.0000,0.8579,0.2706,0.0000,,,0.0000,,,100.0000,0.6149,0.2129,100.0000,0.5884,0.2018,100.0000,0.5785,0.1826
Sessa_2012b,16,16,16,16,0.0000,,,100.0000,0.9272,0.7008,0.0000,,,0.0000,,,0.0000,,,0.0000,,,100.0000,0.7118,0.0425
Shahrestani_2015,2,2,2,2,100.0000,0.6560,0.6524,100.0000,0.5440,0.4857,80.0000,0.6552,0.5556,0.0000,,,100.0000,0.4160,0.3429,100.0000,0.1600,0.0000,100.0000,0.2880,0.1714
Soza_2014,25,26,22,26,0.0000,,,100.0000,0.9420,0.7922,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Wisecaver_2023,1,1,1,1,100.0000,0.6951,1.0000,100.0000,0.5804,0.3286,0.0000,,,0.0000,,,100.0000,0.3148,0.0000,100.0000,0.3148,0.0000,100.0000,0.3148,0.0000
Wu_2015,8,8,9,8,100.0000,0.8152,0.9668,100.0000,0.8344,0.5122,100.0000,0.8470,0.6687,0.0000,,,100.0000,0.5829,0.1000,100.0000,0.5676,0.1000,100.0000,0.5867,0.1000
Zhao_2021,1,1,14,1,100.0000,0.8068,0.9879,100.0000,0.5983,0.1586,0.0000,,,0.0000,,,60.0000,0.7521,0.3000,80.0000,0.7821,0.2910,100.0000,0.7932,0.2428
