network,config,method,metric,mean,std,min,max,n_valid
Bendiksby_2011,conf_ils_low_10M,grampa,edit_distance,0.9238095238095237,0.018929675999998206,0.9047619047619048,0.9470899470899471,5
Bendiksby_2011,conf_ils_low_10M,grampa,num_rets_diff,5.0,0.0,5.0,5.0,5
Bendiksby_2011,conf_ils_low_10M,grampa,ploidy_diff.FN,4.0,2.2360679774997894,0.0,5.0,5
Bendiksby_2011,conf_ils_low_10M,grampa,ploidy_diff.FP,4.8,10.73312629199899,0.0,24.0,5
Bendiksby_2011,conf_ils_low_10M,grampa,ploidy_diff.TP,2.0,2.2360679774997894,1.0,6.0,5
Bendiksby_2011,conf_ils_low_10M,grampa,ploidy_diff.dist,0.8266666666666668,0.014907119849998646,0.8,0.8333333333333334,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_leaf_jaccard.FN,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_leaf_jaccard.FP,0.03222222222222222,0.07205107927499324,0.0,0.16111111111111112,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_leaf_jaccard.TP,0.13444444444444442,0.07205107927499323,0.005555555555555536,0.16666666666666663,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_leaf_jaccard.dist,0.8655555555555555,0.07205107927499323,0.8333333333333334,0.9944444444444445,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_sisters_jaccard.FN,0.85,0.037267799624996475,0.8333333333333334,0.9166666666666666,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_sisters_jaccard.FP,0.025,0.05590169943749475,0.0,0.125,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_sisters_jaccard.TP,0.14166666666666664,0.05590169943749474,0.04166666666666663,0.16666666666666663,5
Bendiksby_2011,conf_ils_low_10M,grampa,ret_sisters_jaccard.dist,0.8583333333333334,0.055901699437494734,0.8333333333333334,0.9583333333333334,5
Bendiksby_2011,conf_ils_low_10M,mpsugar,edit_distance,1.2201058201058201,0.021686668287745247,1.1851851851851851,1.2380952380952381,5
