network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9238 ± 0.0189 (5),1.2201 ± 0.0217 (5),N/A ± 0 (0),0.9630 ± 0.0000 (5),0.9587 ± 0.0427 (5),0.9545 ± 0.0174 (5)
Brysting_2007,0.9384 ± 0.0115 (5),N/A ± 0 (0),N/A ± 0 (0),0.8909 ± 0.1045 (5),0.8444 ± 0.0243 (5),0.8263 ± 0.0166 (5)
Diaz-Perez_2018,0.9659 ± 0.0356 (5),N/A ± 0 (0),N/A ± 0 (0),0.1821 ± 0.0178 (5),0.2081 ± 0.0674 (5),0.7154 ± 0.0115 (5)
Ding_2023,0.9217 ± 0.0345 (5),1.0357 ± 0.1633 (5),N/A ± 0 (0),0.8713 ± 0.0350 (5),0.7489 ± 0.2284 (5),0.4426 ± 0.2284 (5)
Hori_2014,0.9481 ± 0.0267 (5),N/A ± 0 (0),N/A ± 0 (0),0.8333 ± 0.0185 (5),0.8222 ± 0.0384 (5),0.8648 ± 0.0988 (5)
Koenen_2020,0.7973 ± 0.0382 (5),1.0855 ± 0.1191 (5),0.9072 ± 0.0292 (3),0.9946 ± 0.0121 (5),0.9892 ± 0.0148 (5),0.8541 ± 0.0888 (5)
Lawrence_2016,0.9314 ± 0.0104 (5),N/A ± 0 (0),N/A ± 0 (0),0.8721 ± 0.0000 (5),0.8721 ± 0.0000 (5),0.8895 ± 0.0218 (5)
Liang_2019,0.9586 ± 0.0116 (5),N/A ± 0 (0),N/A ± 0 (0),0.8812 ± 0.0514 (5),0.8688 ± 0.0950 (5),0.7758 ± 0.0699 (5)
Liu_2023,0.9526 ± 0.0124 (5),1.1907 ± 0.0299 (4),N/A ± 0 (0),0.7556 ± 0.0000 (5),0.7674 ± 0.0411 (5),0.9274 ± 0.0225 (5)
Marcussen_2011,0.9276 ± 0.0196 (5),N/A ± 0 (0),N/A ± 0 (0),1.0583 ± 0.0070 (5),1.0425 ± 0.0173 (5),0.6205 ± 0.0211 (5)
Marcussen_2012,0.9223 ± 0.0097 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9868 ± 0.0081 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.8756 ± 0.0474 (2)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.9252 ± 0.0486 (2)
Popp_2005,0.8689 ± 0.0402 (5),N/A ± 0 (0),0.5902 ± 0.0000 (1),0.8984 ± 0.0180 (5),0.8852 ± 0.0232 (5),0.8787 ± 0.0274 (5)
Ren_2024,0.9488 ± 0.0370 (5),N/A ± 0 (0),N/A ± 0 (0),0.8927 ± 0.0134 (5),0.7610 ± 0.1478 (5),0.8683 ± 0.0534 (5)
Sessa_2012b,0.9432 ± 0.0045 (5),N/A ± 0 (0),N/A ± 0 (0),0.9617 ± 0.0140 (5),0.9515 ± 0.0114 (5),0.9729 ± 0.0509 (5)
Shahrestani_2015,0.8667 ± 0.1584 (5),1.2552 ± 0.0899 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5)
Soza_2014,0.9685 ± 0.0106 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.8129 ± 0.0478 (5),N/A ± 0 (0),0.3871 ± 0.0000 (1),0.7806 ± 0.1395 (5),0.7806 ± 0.1395 (5),0.8387 ± 0.1094 (5)
Wu_2015,0.9450 ± 0.0172 (5),1.2294 ± 0.0361 (5),N/A ± 0 (0),0.6385 ± 0.0835 (5),0.8257 ± 0.0367 (5),0.8147 ± 0.0574 (5)
Zhao_2021,0.5909 ± 0.3015 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.9091 ± 0.0000 (1),0.8485 ± 0.0000 (1)
