network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8918 ± 0.0468 (5),0.9061 ± 0.0235 (5),0.8469 ± 0.0558 (5),N/A ± 0 (0),0.7475 ± 0.0263 (5),0.7060 ± 0.0694 (5),0.5486 ± 0.0331 (5)
Brysting_2007,N/A ± 0 (0),0.8973 ± 0.0324 (5),N/A ± 0 (0),N/A ± 0 (0),0.2292 ± 0.0118 (5),0.3351 ± 0.2286 (5),0.6789 ± 0.0727 (5)
Diaz-Perez_2018,N/A ± 0 (0),0.9008 ± 0.0202 (5),N/A ± 0 (0),N/A ± 0 (0),0.0595 ± 0.0543 (5),0.0727 ± 0.0717 (5),0.4661 ± 0.0952 (5)
Ding_2023,0.7178 ± 0.0357 (5),0.3123 ± 0.4281 (5),0.6849 ± 0.2515 (5),N/A ± 0 (0),0.3233 ± 0.2054 (5),0.1315 ± 0.0735 (5),0.0329 ± 0.0735 (5)
Hori_2014,N/A ± 0 (0),0.8438 ± 0.0440 (5),N/A ± 0 (0),N/A ± 0 (0),0.0686 ± 0.0720 (5),0.3733 ± 0.2128 (5),0.8114 ± 0.1124 (5)
Koenen_2020,0.7955 ± 0.0564 (5),0.5663 ± 0.2110 (5),0.6427 ± 0.2174 (5),0.5393 ± 0.0778 (3),0.5978 ± 0.0703 (5),0.5528 ± 0.0850 (5),0.3056 ± 0.0921 (5)
Lawrence_2016,N/A ± 0 (0),0.7630 ± 0.0405 (5),N/A ± 0 (0),N/A ± 0 (0),0.3006 ± 0.0000 (5),0.3006 ± 0.0000 (5),0.6035 ± 0.0472 (5)
Liang_2019,N/A ± 0 (0),0.9823 ± 0.0075 (5),N/A ± 0 (0),N/A ± 0 (0),0.7308 ± 0.0075 (5),0.7055 ± 0.1311 (5),0.5485 ± 0.1565 (5)
Liu_2023,0.9353 ± 0.0165 (5),0.7880 ± 0.0329 (5),0.9455 ± 0.0225 (4),N/A ± 0 (0),0.3669 ± 0.0329 (5),0.3940 ± 0.0826 (5),0.5233 ± 0.0586 (5)
Marcussen_2011,N/A ± 0 (0),0.7852 ± 0.0611 (5),N/A ± 0 (0),N/A ± 0 (0),0.7259 ± 0.0000 (5),0.6430 ± 0.0550 (5),0.4030 ± 0.0066 (5)
Marcussen_2012,N/A ± 0 (0),0.9708 ± 0.0126 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.9360 ± 0.0151 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.5888 ± 0.0287 (2)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.8724 ± 0.0700 (2)
Popp_2005,N/A ± 0 (0),0.8150 ± 0.0724 (5),N/A ± 0 (0),0.1231 ± 0.0000 (1),0.2215 ± 0.1605 (5),0.4123 ± 0.1298 (5),0.4369 ± 0.1313 (5)
Ren_2024,N/A ± 0 (0),0.8529 ± 0.0277 (5),N/A ± 0 (0),N/A ± 0 (0),0.6876 ± 0.0362 (5),0.5587 ± 0.2059 (5),0.3140 ± 0.0935 (5)
Sessa_2012b,N/A ± 0 (0),0.8927 ± 0.0083 (5),N/A ± 0 (0),N/A ± 0 (0),0.4128 ± 0.0318 (5),0.4741 ± 0.1099 (5),0.7042 ± 0.0483 (5)
Shahrestani_2015,0.6400 ± 0.0566 (5),0.6102 ± 0.0834 (5),0.6897 ± 0.0845 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5)
Soza_2014,N/A ± 0 (0),0.9593 ± 0.0233 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.7213 ± 0.0518 (5),0.5639 ± 0.1662 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.2426 ± 0.2016 (5),0.2426 ± 0.2016 (5),0.3475 ± 0.1790 (5)
Wu_2015,0.7810 ± 0.1008 (5),0.8514 ± 0.0574 (5),0.8210 ± 0.0535 (5),N/A ± 0 (0),0.2438 ± 0.1011 (5),0.4648 ± 0.1603 (5),0.4838 ± 0.1563 (5)
Zhao_2021,0.7897 ± 0.0621 (5),0.6598 ± 0.3362 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.4957 ± 0.0000 (1),0.4615 ± 0.0000 (1)
