network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8918032786885245,0.9061095658006352,0.8469068700505538,,0.7475409836065574,0.7060109289617487,0.5486338797814208
Brysting_2007,,0.8972972972972973,,,0.2291891891891892,0.33513513513513515,0.6789189189189189
Diaz-Perez_2018,,0.9008264462809917,,,0.05950413223140496,0.07272727272727272,0.4661157024793388
Ding_2023,0.7178082191780821,0.31232876712328766,0.684931506849315,,0.32328767123287666,0.13150684931506848,0.03287671232876712
Hori_2014,,0.8438095238095238,,,0.06857142857142857,0.37333333333333335,0.8114285714285714
Koenen_2020,0.7955056179775281,0.5662921348314607,0.6426966292134831,0.5393258426966292,0.597752808988764,0.5528089887640449,0.3056179775280899
Lawrence_2016,,0.7630057803468209,,,0.30057803468208094,0.30057803468208094,0.6034682080924856
Liang_2019,,0.9822784810126584,,,0.7308016877637131,0.7054852320675106,0.5485232067510548
Liu_2023,0.9353383458646617,0.78796992481203,0.9454887218045113,,0.3669172932330827,0.393984962406015,0.5233082706766916
Marcussen_2011,,0.7851851851851852,,,0.725925925925926,0.642962962962963,0.402962962962963
Marcussen_2012,,0.9708235294117648,,,,,
Marcussen_2015,,0.9360406091370559,,,,,0.5888324873096447
Morales-Briones_2021,,,,,,,0.8723809523809524
Popp_2005,,0.8149832775919734,,0.12307692307692308,0.22153846153846155,0.4123076923076924,0.43692307692307697
Ren_2024,,0.8528925619834711,,,0.687603305785124,0.5586776859504132,0.3140495867768595
Sessa_2012b,,0.8926517571884984,,,0.4127795527156549,0.4741214057507987,0.7041533546325878
Shahrestani_2015,0.64,0.6101818181818182,0.689655172413793,0.16,0.16,0.16,0.16
Soza_2014,,0.959349593495935,,,,,
Wisecaver_2023,0.7213114754098361,0.5639344262295082,,0.0,0.24262295081967214,0.24262295081967214,0.3475409836065574
Wu_2015,0.780952380952381,0.8514285714285714,0.8210048055919617,,0.24380952380952384,0.4647619047619047,0.4838095238095238
Zhao_2021,0.7897435897435898,0.6598290598290598,,,,0.49572649572649574,0.46153846153846156
