network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.04675245822121845,0.02352047326462253,0.05578388580422453,,0.026320425308835566,0.06937954206821367,0.033149182269077794
Brysting_2007,,0.032432432432432434,,,0.011842649892003593,0.22856621093909163,0.0726821029793367
Diaz-Perez_2018,,0.020243716882505626,,,0.054319592479851186,0.07166771368158281,0.09523874572487889
Ding_2023,0.03572165701480904,0.4281123277063761,0.2514734212422715,,0.20538810755058973,0.07351456364382869,0.07351456364382869
Hori_2014,,0.043954212416054565,,,0.07202922057595823,0.21278841971457435,0.11236480917144857
Koenen_2020,0.05640404673263433,0.21104461810110375,0.2173511212539858,0.07784498011545518,0.07034820603370123,0.08497829393792825,0.09210742261536717
Lawrence_2016,,0.04046242774566475,,,0.0,0.0,0.04724350691723131
Liang_2019,,0.007547908784809424,,,0.007547908784809428,0.1310872070934255,0.1565167678564676
Liu_2023,0.01647285887233583,0.03294571774467162,0.022451720384923504,,0.03294571774467164,0.0826383859490772,0.05862733440486593
Marcussen_2011,,0.061083046305446774,,,0.0,0.055034594432612514,0.006625386599999358
Marcussen_2012,,0.012627207402351754,,,,,
Marcussen_2015,,0.01505827103978813,,,,,0.02871499619031662
Morales-Briones_2021,,,,,,,0.07003724308895329
Popp_2005,,0.07237940376744299,,0.0,0.16047267458960365,0.12981552682910144,0.1312660246627787
Ren_2024,,0.027658182695341354,,,0.03621306165323409,0.2059161851556686,0.09350172313210546
Sessa_2012b,,0.008331249080131154,,,0.03182082964342168,0.10987814537355538,0.048326314124444866
Shahrestani_2015,0.056568542494923754,0.08341472609153389,0.0844651635442475,0.0,0.0,0.0,0.0
Soza_2014,,0.023312534599031504,,,,,
Wisecaver_2023,0.05184061737980948,0.16621366368047968,,0.0,0.20157935933035276,0.20157935933035276,0.17898156149450728
Wu_2015,0.10079052613579394,0.05738045840530312,0.053526273003553455,,0.10114985178934668,0.16027187785114383,0.156260147062809
Zhao_2021,0.062105648289179305,0.33619199368039715,,,,0.0,0.0
