network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9238095238095237,1.2201058201058201,,0.962962962962963,0.9587301587301587,0.9544973544973544
Brysting_2007,0.9383838383838384,,,0.8908989391401452,0.8444444444444444,0.8262626262626263
Diaz-Perez_2018,0.9658536585365853,,,0.1821138211382114,0.20813008130081298,0.7154471544715447
Ding_2023,0.9217021276595745,1.0356862745098039,,0.8713346228239844,0.7489361702127659,0.44255319148936173
Hori_2014,0.9481481481481481,,,0.8333333333333334,0.8222222222222222,0.8648148148148147
Koenen_2020,0.7972972972972973,1.0854774774774776,0.9071729957805909,0.9945945945945945,0.9891891891891891,0.854054054054054
Lawrence_2016,0.9313953488372093,,,0.872093023255814,0.872093023255814,0.8895348837209303
Liang_2019,0.95859375,,,0.88125,0.86875,0.77578125
Liu_2023,0.9525925925925925,1.1907407407407407,,0.7555555555555555,0.7674074074074074,0.9274074074074073
Marcussen_2011,0.9275590551181102,,,1.058267716535433,1.04251968503937,0.6204724409448819
Marcussen_2012,0.9223300970873787,,,,,
Marcussen_2015,0.9868421052631579,,,,,0.8755980861244019
Morales-Briones_2021,,,,,,0.9251760563380282
Popp_2005,0.8688524590163935,,0.5901639344262295,0.898360655737705,0.8852459016393442,0.8786885245901639
Ren_2024,0.9487804878048781,,,0.8926829268292684,0.7609756097560976,0.8682926829268294
Sessa_2012b,0.943217665615142,,,0.9616738958990536,0.9514727917981073,0.9728706624605679
Shahrestani_2015,0.8666666666666666,1.2551724137931033,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
Soza_2014,0.9685082872928177,,,,,
Wisecaver_2023,0.8129032258064516,,0.3870967741935484,0.7806451612903226,0.7806451612903226,0.8387096774193548
Wu_2015,0.9449541284403671,1.2293577981651376,,0.6385321100917432,0.8256880733944956,0.8146788990825689
Zhao_2021,0.5909090909090909,,,,0.9090909090909091,0.8484848484848485
