network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.027390855249830218,0.018929675999998206,0.021686668287745247,,0.0,0.04272302484272244,0.017388017698576723
Brysting_2007,,0.011516923485849916,,,0.10450841579485869,0.024326453694529897,0.016597653257732294
Diaz-Perez_2018,,0.035624231382449766,,,0.017812115691224917,0.06743558163683812,0.011497671238805636
Ding_2023,0.04639995898168685,0.03453238027504606,0.1633016705416441,,0.03498519079563278,0.2283643891914679,0.22836438919146787
Hori_2014,,0.026675667205347992,,,0.018518518518518573,0.038400817320977235,0.09877507668958949
Koenen_2020,0.038650855584223286,0.038221988172245855,0.11905981279510978,0.029232925022259562,0.012086853932431292,0.014803312365004446,0.08881987419002693
Lawrence_2016,,0.010400316174417643,,,0.0,0.0,0.021753822016127567
Liang_2019,,0.011587810136086972,,,0.05142322573051258,0.09502710859111467,0.06985528428249005
Liu_2023,0.04851810319570804,0.012394963356060391,0.02986021388258727,,0.0,0.04110944274225661,0.022467779093486115
Marcussen_2011,,0.019606141099194858,,,0.007042733787400986,0.017251104173391096,0.02112820136220275
Marcussen_2012,,0.009708737864077652,,,,,
Marcussen_2015,,0.00805753204862885,,,,,0.0473660044813955
Morales-Briones_2021,,,,,,,0.048551345891329784
Popp_2005,,0.04015556955382257,,0.0,0.017958116639513667,0.023183828891362238,0.027431476279805782
Ren_2024,,0.03698963631244656,,,0.01335908676841869,0.1477573778620582,0.05343634707367478
Sessa_2012b,,0.004461241521681719,,,0.013968437068866984,0.011405181107634051,0.05089531678168621
Shahrestani_2015,0.06625386599999379,0.15843888619412916,0.08992003317520886,0.0,0.0,0.0,0.0
Soza_2014,,0.010627284011973109,,,,,
Wisecaver_2023,0.043278735048383,0.04784644185223007,,0.0,0.13949515038993324,0.13949515038993324,0.10939241908266563
Wu_2015,0.0404118417028468,0.017163565994375848,0.03611930217436607,,0.0834811975491914,0.036697247706422034,0.057440278321095536
Zhao_2021,0.015544809828065,0.30151134457776363,,,,0.0,0.0
