network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.8266666666666668,1.5,,0.0,0.0,0.0
Brysting_2007,,1.0,,,0.0,0.0,0.0
Diaz-Perez_2018,,1.0769230769230769,,,0.0,0.0,0.0
Ding_2023,0.0,0.4,0.9142857142857143,,0.0,0.0,0.0
Hori_2014,,1.2311688311688311,,,0.0,0.0,0.0
Koenen_2020,0.0,0.2,0.96,0.0,0.0,0.0,0.0
Lawrence_2016,,1.0222222222222221,,,0.0,0.0,0.0
Liang_2019,,1.0,,,0.0,0.0,0.0
Liu_2023,0.0,0.875,1.03125,,0.0,0.0,0.0
Marcussen_2011,,0.9857142857142858,,,0.0,0.0,0.0
Marcussen_2012,,1.0298507462686568,,,,,
Marcussen_2015,,0.9823529411764707,,,,,0.0
Morales-Briones_2021,,,,,,,0.0
Popp_2005,,0.7428571428571429,,0.0,0.0,0.0,0.0
Ren_2024,,1.0,,,0.0,0.0,0.0
Sessa_2012b,,1.08,,,0.0,0.0,0.0
Shahrestani_2015,0.0,0.6,2.0,0.0,0.0,0.0,0.0
Soza_2014,,1.0,,,,,
Wisecaver_2023,0.0,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.0,0.8095238095238095,1.3111111111111111,,0.0,0.0,0.0
Zhao_2021,0.0,0.425,,,,0.0,0.0
