network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.014907119849998646,0.3118047822311618,,0.0,0.0,0.0
Brysting_2007,,0.0,,,0.0,0.0,0.0
Diaz-Perez_2018,,0.0,,,0.0,0.0,0.0
Ding_2023,0.0,0.5477225575051661,0.5111012519999519,,0.0,0.0,0.0
Hori_2014,,0.12092575944919261,,,0.0,0.0,0.0
Koenen_2020,0.0,0.447213595499958,0.5366563145999496,0.0,0.0,0.0,0.0
Lawrence_2016,,0.04969039949999535,,,0.0,0.0,0.0
Liang_2019,,0.0,,,0.0,0.0,0.0
Liu_2023,0.0,0.0,0.47186465220442186,,0.0,0.0,0.0
Marcussen_2011,,0.03194382824999699,,,0.0,0.0,0.0
Marcussen_2012,,0.0,,,,,
Marcussen_2015,,0.016109486985446078,,,,,0.0
Morales-Briones_2021,,,,,,,0.0
Popp_2005,,0.015971914124998488,,0.0,0.0,0.0,0.0
Ren_2024,,0.0,,,0.0,0.0,0.0
Sessa_2012b,,0.0,,,0.0,0.0,0.0
Shahrestani_2015,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0
Soza_2014,,0.0,,,,,
Wisecaver_2023,0.0,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.0,0.17496355305594127,0.30832082056692467,,0.0,0.0,0.0
Zhao_2021,0.0,0.4271087390817472,,,,0.0,0.0
