network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8656 ± 0.0721 (5),0.9889 ± 0.0248 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0222 ± 0.0304 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Diaz-Perez_2018,0.8889 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Ding_2023,0.4000 ± 0.5477 (5),0.2000 ± 0.4472 (5),N/A ± 0 (0),0.6000 ± 0.5477 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.9829 ± 0.0156 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0143 ± 0.0319 (5)
Koenen_2020,0.2000 ± 0.4472 (5),0.8000 ± 0.4472 (5),0.6000 ± 0.0000 (3),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.7875 ± 0.0839 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0250 ± 0.0559 (5)
Liang_2019,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0083 ± 0.0114 (5),0.0167 ± 0.0093 (5),0.0042 ± 0.0093 (5)
Liu_2023,0.8333 ± 0.0000 (5),0.9833 ± 0.0192 (4),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2011,0.9600 ± 0.0894 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9571 ± 0.0391 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0781 ± 0.0221 (2)
Popp_2005,0.1600 ± 0.3578 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0187 ± 0.0171 (5),0.0063 ± 0.0140 (5),0.0368 ± 0.0253 (5)
Shahrestani_2015,0.8000 ± 0.2739 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9802 ± 0.0184 (5),0.9854 ± 0.0203 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.4250 ± 0.4271 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (1)
