network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.07205107927499323,0.02484519974999763,,0.0,0.0,0.0
Brysting_2007,0.0,,,0.03042903097250923,0.0,0.0
Diaz-Perez_2018,0.0,,,,,
Ding_2023,0.5477225575051661,0.4472135954999579,,0.5477225575051662,0.0,0.0
Hori_2014,0.015649215928719026,,,0.0,0.0,0.031943828249996996
Koenen_2020,0.447213595499958,0.4472135954999579,0.0,0.0,0.0,0.0
Lawrence_2016,0.08385254915624211,,,0.0,0.0,0.05590169943749475
Liang_2019,0.0,,,0.01141088661469096,0.009316949906249122,0.009316949906249122
Liu_2023,0.0,0.019245008972987532,,0.0,0.0,0.0
Marcussen_2011,0.08944271909999157,,,,,
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.03912303982179756,,,,,0.0
Morales-Briones_2021,,,,,,0.02209708691207961
Popp_2005,0.3577708763999664,,0.0,0.0,0.0,0.0
Ren_2024,0.0,,,0.0,0.0,0.0
Sessa_2012b,0.0,,,0.01711632992203644,0.013975424859373687,0.02530496304767685
Shahrestani_2015,0.27386127875258304,0.0,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,,
Wisecaver_2023,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.01840003669741213,0.020305821551685352,,0.0,0.0,0.0
Zhao_2021,0.4271087390817472,,,,0.0,0.0
