network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8583333333333334,0.9916666666666666,,0.0,0.0,0.0
Brysting_2007,1.0,,,0.06481481481481481,0.0,0.016944444444444446
Diaz-Perez_2018,0.9444444444444444,,,0.0,0.0,0.0
Ding_2023,0.4,0.2,,0.6,0.0,0.0
Hori_2014,0.98015873015873,,,0.025396825396825397,0.01857142857142857,0.22020408163265306
Koenen_2020,0.2,0.8,0.7604166666666666,0.0,0.0,0.0
Lawrence_2016,0.9,,,0.0,0.0,0.11333333333333333
Liang_2019,1.0,,,0.0394510582010582,0.14487433862433863,0.05694444444444444
Liu_2023,0.8333333333333334,1.0,,0.0,0.13611111111111113,0.002615384615384614
Marcussen_2011,0.978,,,0.0,0.0,0.0
Marcussen_2012,1.0,,,,,
Marcussen_2015,0.9820535714285714,,,,,0.1468643707482993
Morales-Briones_2021,,,,,,0.1628925120772947
Popp_2005,0.3717948717948718,,0.0,0.0,0.0,0.0
Ren_2024,1.0,,,0.0,0.0,0.0
Sessa_2012b,1.0,,,0.04479166666666666,0.052013888888888894,0.1278799019607843
Shahrestani_2015,0.8300000000000001,1.0,0.0,0.0,0.0,0.0
Soza_2014,1.0,,,,,
Wisecaver_2023,0.24333333333333335,,0.0,0.0,0.0,0.0
Wu_2015,0.9743055555555555,0.9895833333333333,,0.0,0.0,0.0
Zhao_2021,0.4125,,,,0.0,0.0
