network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.055901699437494734,0.018633899812498238,,0.0,0.0,0.0
Brysting_2007,0.0,,,0.05919774005807602,0.0,0.023299505166743114
Diaz-Perez_2018,0.0,,,0.0,0.0,0.0
Ding_2023,0.5477225575051661,0.4472135954999579,,0.5477225575051662,0.0,0.0
Hori_2014,0.01811251843601745,,,0.03654242677213124,0.04152697672499609,0.025385864779316335
Koenen_2020,0.447213595499958,0.4472135954999579,0.07216878364870322,0.0,0.0,0.0
Lawrence_2016,0.055901699437494755,,,0.0,0.0,0.15862263223065715
Liang_2019,0.0,,,0.044503260087888075,0.04529028655355586,0.03701125766595584
Liu_2023,0.0,0.0,,0.0,0.17469108537255695,0.005848177787307139
Marcussen_2011,0.04919349550499537,,,0.0,0.0,0.0
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.017858258893696393,,,,,0.11510026835768268
Morales-Briones_2021,,,,,,0.005337460606782499
Popp_2005,0.0725237724293895,,0.0,0.0,0.0,0.0
Ren_2024,0.0,,,0.0,0.0,0.0
Sessa_2012b,0.0,,,0.04110955679306482,0.07666081650385051,0.04975635456804488
Shahrestani_2015,0.1565247584249853,0.0,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,,
Wisecaver_2023,0.24198255217175382,,0.0,0.0,0.0,0.0
Wu_2015,0.029396211477474347,0.01473139127471976,,0.0,0.0,0.0
Zhao_2021,0.42239551222758037,,,,0.0,0.0
