network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9859 ± 0.0210 (5),0.2422 ± 0.0629 (5),0.9132 ± 0.0318 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,N/A ± 0 (0),0.6882 ± 0.0610 (5),N/A ± 0 (0),N/A ± 0 (0),0.0092 ± 0.0097 (5),0.0000 ± 0.0000 (5),0.0186 ± 0.0255 (5)
Diaz-Perez_2018,N/A ± 0 (0),0.6432 ± 0.0296 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.9357 ± 0.0655 (5),0.0762 ± 0.1096 (5),0.1714 ± 0.1043 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,N/A ± 0 (0),0.8486 ± 0.0242 (5),N/A ± 0 (0),N/A ± 0 (0),0.0085 ± 0.0117 (5),0.0087 ± 0.0194 (5),0.3162 ± 0.0365 (5)
Koenen_2020,0.9676 ± 0.0483 (5),0.1000 ± 0.2236 (5),0.3034 ± 0.1625 (5),0.0303 ± 0.0000 (3),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,N/A ± 0 (0),0.4381 ± 0.0382 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0253 ± 0.0390 (5)
Liang_2019,N/A ± 0 (0),0.8186 ± 0.0303 (5),N/A ± 0 (0),N/A ± 0 (0),0.0216 ± 0.0252 (5),0.0949 ± 0.0314 (5),0.0494 ± 0.0279 (5)
Liu_2023,1.0000 ± 0.0000 (5),0.3259 ± 0.0166 (5),0.7602 ± 0.0320 (4),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0345 ± 0.0345 (5),0.0034 ± 0.0076 (5)
Marcussen_2011,N/A ± 0 (0),0.6114 ± 0.0886 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,N/A ± 0 (0),0.7157 ± 0.0202 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.5487 ± 0.0562 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.1346 ± 0.1904 (2)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.1659 ± 0.0697 (2)
Popp_2005,N/A ± 0 (0),0.2413 ± 0.1592 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),0.5226 ± 0.0866 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,N/A ± 0 (0),0.6850 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0040 ± 0.0036 (5),0.0173 ± 0.0238 (5),0.0497 ± 0.0370 (5)
Shahrestani_2015,0.7611 ± 0.1774 (5),0.3357 ± 0.2785 (5),0.5111 ± 0.2434 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,N/A ± 0 (0),0.7426 ± 0.0139 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.9709 ± 0.0399 (5),0.2090 ± 0.1093 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9561 ± 0.0522 (5),0.5722 ± 0.0832 (5),0.6866 ± 0.0814 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.9053 ± 0.0829 (5),0.1956 ± 0.1795 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (1)
