network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.24215189873417722,0.9131872437485132,,0.0,0.0,0.0
Brysting_2007,0.6882352941176471,,,0.009248863940122962,0.0,0.018604651162790697
Diaz-Perez_2018,0.6432432432432432,,,0.0,0.0,0.0
Ding_2023,0.07619047619047618,0.17142857142857143,,0.0,0.0,0.0
Hori_2014,0.8486486486486486,,,0.00851063829787234,0.008695652173913044,0.3161971238751997
Koenen_2020,0.1,0.3034090909090909,0.030303030303030304,0.0,0.0,0.0
Lawrence_2016,0.43814080656185916,,,0.0,0.0,0.025316455696202535
Liang_2019,0.8186046511627907,,,0.021557841026867575,0.09492357200321802,0.049438520310009344
Liu_2023,0.3259259259259259,0.7601817042606516,,0.0,0.034482758620689655,0.003389830508474576
Marcussen_2011,0.6114164904862579,,,0.0,0.0,0.0
Marcussen_2012,0.7156626506024096,,,,,
Marcussen_2015,0.5487179487179488,,,,,0.1346153846153846
Morales-Briones_2021,,,,,,0.1659282700421941
Popp_2005,0.24133333333333332,,0.0,0.0,0.0,0.0
Ren_2024,0.5225806451612903,,,0.0,0.0,0.0
Sessa_2012b,0.6850393700787402,,,0.003973509933774834,0.017271523178807945,0.04973722716004596
Shahrestani_2015,0.33571428571428574,0.5111111111111111,0.0,0.0,0.0,0.0
Soza_2014,0.7426356589147287,,,,,
Wisecaver_2023,0.20899470899470898,,0.0,0.0,0.0,0.0
Wu_2015,0.5721951219512195,0.6865669843020703,,0.0,0.0,0.0
Zhao_2021,0.19556650246305418,,,,0.0,0.0
