network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.06289050413484441,0.031766383205691404,,0.0,0.0,0.0
Brysting_2007,0.06098953339214032,,,0.00971289297747539,0.0,0.025475467790937956
Diaz-Perez_2018,0.029606624730008968,,,0.0,0.0,0.0
Ding_2023,0.10962728031639368,0.10432810619146021,,0.0,0.0,0.0
Hori_2014,0.024173707864862594,,,0.01165367143628013,0.019444069369563388,0.03651364682995638
Koenen_2020,0.223606797749979,0.1624841060250011,0.0,0.0,0.0,0.0
Lawrence_2016,0.038210320873202135,,,0.0,0.0,0.03901527849980365
Liang_2019,0.03032187165210531,,,0.025200877468809505,0.031377201394841236,0.027916452798481393
Liu_2023,0.016563466499998437,0.03203617603030412,,0.0,0.034482758620689655,0.0075798914491518295
Marcussen_2011,0.08859839319528182,,,0.0,0.0,0.0
Marcussen_2012,0.020160482567086177,,,,,
Marcussen_2015,0.05617667256463246,,,,,0.1903749026271474
Morales-Briones_2021,,,,,,0.06966642759791514
Popp_2005,0.15919240629572198,,0.0,0.0,0.0,0.0
Ren_2024,0.08655747009676605,,,0.0,0.0,0.0
Sessa_2012b,0.0,,,0.003627301705332226,0.023756583228648563,0.03701929502404568
Shahrestani_2015,0.27847983842311325,0.24343224778007383,0.0,0.0,0.0,0.0
Soza_2014,0.013867088232556855,,,,,
Wisecaver_2023,0.10931721434600204,,0.0,0.0,0.0,0.0
Wu_2015,0.0831524906683056,0.08138734353226001,,0.0,0.0,0.0
Zhao_2021,0.17954634499136243,,,,0.0,0.0
