method,metric,avg_value,avg_rank,num_best,num_worst,num_networks
padre,edit_distance,0.6192565742482403,1.75,2,0,4
polyphest_p90,edit_distance,0.8303826346646704,2.2941176470588234,5,3,17
polyphest_p70,edit_distance,0.8384989103349247,2.533333333333333,2,1,15
polyphest_p50,edit_distance,0.8447507410076485,2.642857142857143,4,1,14
grampa,edit_distance,0.9059649777142612,2.65,8,10,20
mpsugar,edit_distance,1.1694234207986804,5.333333333333333,0,6,6
polyphest_p50,num_rets_diff,0.1142857142857143,1.9285714285714286,7,1,14
polyphest_p70,num_rets_diff,0.0,2.066666666666667,5,0,15
polyphest_p90,num_rets_diff,0.15882352941176472,2.764705882352941,3,3,17
grampa,num_rets_diff,7.51,3.0,6,12,20
padre,num_rets_diff,0.25,3.0,0,1,4
mpsugar,num_rets_diff,3.65,4.833333333333333,0,4,6
polyphest_p50,ploidy_diff.dist,0.0,1.5,8,0,14
padre,ploidy_diff.dist,0.0,1.75,1,0,4
polyphest_p70,ploidy_diff.dist,0.0,2.1333333333333333,5,0,15
polyphest_p90,ploidy_diff.dist,0.0,2.8823529411764706,2,2,17
grampa,ploidy_diff.dist,0.8143639861260581,3.25,5,13,20
mpsugar,ploidy_diff.dist,1.286107804232804,5.333333333333333,0,6,6
polyphest_p70,ret_leaf_jaccard.dist,0.0015277777777777779,2.0,6,0,15
polyphest_p50,ret_leaf_jaccard.dist,0.046378968253968256,2.0,5,1,14
padre,ret_leaf_jaccard.dist,0.15,2.5,1,0,4
polyphest_p90,ret_leaf_jaccard.dist,0.00931424040204317,2.588235294117647,4,2,17
grampa,ret_leaf_jaccard.dist,0.7620218253968254,3.2,5,13,20
mpsugar,ret_leaf_jaccard.dist,0.8262731481481481,5.0,0,5,6
polyphest_p50,ret_sisters_jaccard.dist,0.05531816893424036,1.7857142857142858,7,1,14
polyphest_p70,ret_sisters_jaccard.dist,0.023438051146384482,2.0,6,0,15
padre,ret_sisters_jaccard.dist,0.19010416666666666,2.25,2,0,4
polyphest_p90,ret_sisters_jaccard.dist,0.05465097961933806,2.588235294117647,2,1,17
grampa,ret_sisters_jaccard.dist,0.7954128586691087,3.4,4,14,20
mpsugar,ret_sisters_jaccard.dist,0.8302083333333333,5.0,0,5,6
