method,metric,network_property,correlation,p_value,significant,n_networks
mpsugar,num_rets_diff,num_reticulations,0.9987957839922523,2.174331151364908e-06,True,6
grampa,num_rets_diff,num_reticulations,0.998588662561745,2.0990149483225275e-24,True,20
padre,edit_distance,num_polyploids,0.9696029016341361,0.030397098365863906,True,4
polyphest_p90,num_rets_diff,num_polyploids,0.8599469760893678,2.3569944523525485e-06,True,19
polyphest_p90,num_rets_diff,num_reticulations,0.8294280931141296,1.1287082959800183e-05,True,19
polyphest_p90,num_rets_diff,num_species,0.7944489898785216,4.852361382778256e-05,True,19
grampa,num_rets_diff,num_polyploids,0.6979529999785162,0.0006220467416942541,True,20
grampa,num_rets_diff,num_species,0.625952021997905,0.0031540228761836805,True,20
grampa,num_rets_diff,max_copies,0.5544194258647978,0.011185966516586794,True,20
grampa,edit_distance,num_reticulations,0.5055310028406992,0.022974761309036484,True,20
polyphest_p90,edit_distance,num_species,0.4964314849692736,0.03061938557644589,True,19
padre,num_rets_diff,num_polyploids,0.8783100656536795,0.12168993434632047,False,4
mpsugar,edit_distance,num_reticulations,0.6968572340202099,0.12391457128092809,False,6
padre,num_rets_diff,num_species,0.6294651817966895,0.3705348182033106,False,4
mpsugar,num_rets_diff,num_polyploids,0.569772449776446,0.23782697299912486,False,6
mpsugar,num_rets_diff,num_species,0.5653766477788446,0.2422965641686101,False,6
polyphest_p70,edit_distance,num_species,0.35990459682784876,0.15590702138670287,False,17
grampa,edit_distance,max_copies,0.3522465900529741,0.12771701789609774,False,20
polyphest_p50,edit_distance,num_species,0.33589589698464095,0.20339291532172576,False,16
padre,edit_distance,num_species,0.3318009598444004,0.6681990401555997,False,4
grampa,edit_distance,num_species,0.31646535479801924,0.17402227706661788,False,20
polyphest_p90,edit_distance,num_reticulations,0.2884715848863443,0.23102428116114565,False,19
polyphest_p50,edit_distance,max_copies,0.2616574263991662,0.32761594865186405,False,16
polyphest_p90,edit_distance,num_polyploids,0.24114713375850746,0.31995292967653877,False,19
mpsugar,edit_distance,num_species,0.18227933768190752,0.7296091779621647,False,6
grampa,edit_distance,num_polyploids,0.17606503441570384,0.4577737418096912,False,20
polyphest_p70,edit_distance,max_copies,0.14510420585498732,0.5784405200798474,False,17
polyphest_p70,edit_distance,num_polyploids,0.12942972374950756,0.6205327622670014,False,17
polyphest_p50,edit_distance,num_polyploids,0.09921838318665273,0.7146754347135219,False,16
polyphest_p50,num_rets_diff,num_polyploids,0.0682980606284269,0.8015634919470659,False,16
polyphest_p70,edit_distance,num_reticulations,0.024044680898439794,0.9270159499419584,False,17
polyphest_p90,edit_distance,max_copies,0.01962340731318383,0.9364467236556946,False,19
polyphest_p90,num_rets_diff,max_copies,0.012206337879379695,0.960444658168069,False,19
polyphest_p50,edit_distance,num_reticulations,0.006038037473197519,0.9822940385950832,False,16
padre,edit_distance,num_reticulations,-0.08277565188697303,0.9172243481130269,False,4
padre,edit_distance,max_copies,-0.09031517713596157,0.9096848228640384,False,4
polyphest_p50,num_rets_diff,num_reticulations,-0.12206169213534396,0.6524712940464289,False,16
mpsugar,edit_distance,num_polyploids,-0.15554343127796239,0.7685664432293096,False,6
polyphest_p50,num_rets_diff,num_species,-0.19748172020770902,0.46348684145759383,False,16
polyphest_p50,num_rets_diff,max_copies,-0.2126643615025008,0.42908220488330495,False,16
padre,num_rets_diff,max_copies,-0.33333333333333315,0.666666666666667,False,4
padre,num_rets_diff,num_reticulations,-0.3333333333333332,0.6666666666666667,False,4
mpsugar,edit_distance,max_copies,,,False,6
mpsugar,num_rets_diff,max_copies,,,False,6
polyphest_p70,num_rets_diff,num_species,,,False,17
polyphest_p70,num_rets_diff,num_polyploids,,,False,17
polyphest_p70,num_rets_diff,max_copies,,,False,17
polyphest_p70,num_rets_diff,num_reticulations,,,False,17
