network,config,method,replicate,metric,value,status
Bendiksby_2011,conf_ils_medium_10M,grampa,1,edit_distance,0.9470899470899471,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_leaf_jaccard.TP,0.023809523809523725,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_sisters_jaccard.dist,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_sisters_jaccard.FP,0.08333333333333333,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_sisters_jaccard.FN,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,1,ret_sisters_jaccard.TP,0.04166666666666663,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,edit_distance,0.9047619047619048,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_leaf_jaccard.TP,0.023809523809523725,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_sisters_jaccard.dist,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_sisters_jaccard.FP,0.08333333333333333,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_sisters_jaccard.FN,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,2,ret_sisters_jaccard.TP,0.04166666666666663,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,edit_distance,0.9470899470899471,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_ils_medium_10M,grampa,3,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
