network,config,method,replicate,gt_path,inferred_path,gt_exists,inferred_exists,file_size
Bendiksby_2011,conf_ils_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_ils_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,1072
Bendiksby_2011,conf_ils_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_ils_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,1072
Bendiksby_2011,conf_ils_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_ils_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,1072
Bendiksby_2011,conf_ils_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_ils_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,1072
Bendiksby_2011,conf_ils_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_ils_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,1072
Koenen_2020,conf_ils_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_ils_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,499
Koenen_2020,conf_ils_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_ils_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,429
Koenen_2020,conf_ils_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_ils_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,429
Koenen_2020,conf_ils_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_ils_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,429
Koenen_2020,conf_ils_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_ils_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,429
