network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9470899470899472,1.2,,0.9777777777777776,0.9735449735449734,0.9756613756613757
Brysting_2007,0.9454545454545455,,,1.0130653266331657,1.0130653266331657,1.009045226130653
Diaz-Perez_2018,0.948509485094851,,,,,
Ding_2023,0.9480000000000001,0.9236862745098039,,0.7645454545454545,0.75,0.851063829787234
Hori_2014,0.9703703703703702,,,0.7592592592592593,0.8111111111111111,0.8185185185185185
Koenen_2020,0.6810810810810811,1.1786666666666665,,0.9567567567567569,0.9479986315429354,0.9459459459459459
Lawrence_2016,0.9011627906976744,,,0.9131891681278004,0.9246834210013637,0.915565945840639
Liang_2019,0.95390625,,,0.70625,0.74921875,0.73046875
Liu_2023,0.9466666666666667,1.1970370370370371,,0.7525925925925926,0.717037037037037,0.8128824476650565
Marcussen_2011,0.9401574803149606,,,,,
Marcussen_2012,0.9320388349514562,,,,,
Marcussen_2015,0.9881578947368421,,,,,
Popp_2005,0.862295081967213,,,0.8918032786885245,0.9003586065573771,0.9142418032786885
Ren_2024,0.8878048780487806,,,0.9214285714285715,0.9357142857142857,0.9101078204474431
Sessa_2012b,0.943217665615142,,,0.9234375,0.9256249999999999,0.9141679810725553
Shahrestani_2015,0.7777777777777778,1.2137931034482758,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.6370370370370371
Soza_2014,0.9574585635359115,,,,,
Wisecaver_2023,0.6838709677419355,,,0.6645161290322581,0.6645161290322581,0.6645161290322581
Wu_2015,0.9559633027522935,1.1944954128440366,,0.6972477064220184,0.6788990825688074,0.6422018348623854
Zhao_2021,0.7272727272727273,,,0.9350227420402859,0.9067097962576094,0.8931569213259354
