network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9135 ± 0.0076 (5),0.8879 ± 0.0185 (5),N/A ± 0 (0),0.7541 ± 0.0256 (5),0.7541 ± 0.0256 (5),0.7541 ± 0.0256 (5)
Brysting_2007,0.8919 ± 0.0153 (5),N/A ± 0 (0),N/A ± 0 (0),0.3351 ± 0.0949 (5),0.2984 ± 0.0884 (5),0.4195 ± 0.0178 (5)
Diaz-Perez_2018,0.8711 ± 0.0245 (5),N/A ± 0 (0),N/A ± 0 (0),0.2215 ± 0.0543 (5),0.2215 ± 0.0543 (5),0.3934 ± 0.0272 (5)
Ding_2023,0.5492 ± 0.2042 (5),0.6137 ± 0.3178 (5),N/A ± 0 (0),0.4110 ± 0.2004 (5),0.5425 ± 0.0229 (5),0.1644 ± 0.0000 (5)
Hori_2014,0.8610 ± 0.0887 (5),N/A ± 0 (0),N/A ± 0 (0),0.3352 ± 0.0478 (5),0.3352 ± 0.0256 (5),0.2933 ± 0.0654 (5)
Koenen_2020,0.5077 ± 0.3155 (5),0.7843 ± 0.0607 (5),N/A ± 0 (0),0.5303 ± 0.1354 (5),0.5393 ± 0.1339 (5),0.3506 ± 0.2465 (5)
Lawrence_2016,0.8026 ± 0.1021 (5),N/A ± 0 (0),N/A ± 0 (0),0.5387 ± 0.0063 (5),0.5387 ± 0.0063 (5),0.5387 ± 0.0063 (5)
Liang_2019,0.9755 ± 0.0113 (5),N/A ± 0 (0),N/A ± 0 (0),0.5975 ± 0.0847 (5),0.5688 ± 0.0703 (5),0.4962 ± 0.0263 (5)
Liu_2023,0.7850 ± 0.0456 (5),0.9431 ± 0.0425 (5),N/A ± 0 (0),0.2947 ± 0.1067 (5),0.3128 ± 0.0886 (5),0.4842 ± 0.0762 (5)
Marcussen_2011,0.7407 ± 0.0931 (5),N/A ± 0 (0),N/A ± 0 (0),0.6874 ± 0.0081 (5),0.6933 ± 0.0066 (5),0.7378 ± 0.0162 (5)
Marcussen_2012,0.9642 ± 0.0168 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9218 ± 0.0167 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.7790 ± 0.0378 (5),N/A ± 0 (0),N/A ± 0 (0),0.1723 ± 0.0515 (5),0.3138 ± 0.1159 (5),0.4062 ± 0.1529 (5)
Ren_2024,0.8397 ± 0.0501 (5),N/A ± 0 (0),N/A ± 0 (0),0.7041 ± 0.0362 (5),0.7008 ± 0.0381 (5),0.7008 ± 0.0530 (5)
Sessa_2012b,0.9105 ± 0.0120 (5),N/A ± 0 (0),N/A ± 0 (0),0.6438 ± 0.0845 (4),0.6313 ± 0.0788 (5),0.6722 ± 0.0490 (5)
Shahrestani_2015,0.6110 ± 0.0735 (5),0.6897 ± 0.0845 (5),0.1600 ± 0.0000 (4),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5),0.2080 ± 0.1073 (5)
Soza_2014,0.9453 ± 0.0453 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.4459 ± 0.0855 (5),N/A ± 0 (0),N/A ± 0 (0),0.0525 ± 0.0718 (5),0.0525 ± 0.0718 (5),0.0525 ± 0.0718 (5)
Wu_2015,0.8730 ± 0.0437 (5),0.8057 ± 0.0434 (5),N/A ± 0 (0),0.3086 ± 0.0341 (5),0.2933 ± 0.0417 (5),0.2629 ± 0.0341 (5)
Zhao_2021,0.7350 ± 0.2030 (5),N/A ± 0 (0),N/A ± 0 (0),0.7265 ± 0.0363 (2),0.6795 ± 0.1334 (4),0.6040 ± 0.1371 (3)
