network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9135135135135135,0.8878806675527986,,0.7540983606557378,0.7540983606557378,0.7540983606557378
Brysting_2007,0.8918918918918919,,,0.33513513513513515,0.2983783783783784,0.41945945945945945
Diaz-Perez_2018,0.8710743801652893,,,0.22148760330578515,0.22148760330578515,0.3933884297520661
Ding_2023,0.5491628614916285,0.6136986301369862,,0.410958904109589,0.5424657534246575,0.1643835616438356
Hori_2014,0.8609523809523809,,,0.3352380952380952,0.3352380952380952,0.29333333333333333
Koenen_2020,0.5077208535202556,0.7842696629213484,,0.5303370786516853,0.5393258426966292,0.35056179775280893
Lawrence_2016,0.8026057436462061,,,0.5387283236994219,0.5387283236994219,0.5387283236994219
Liang_2019,0.9755274261603375,,,0.5974683544303797,0.5687763713080168,0.4962025316455696
Liu_2023,0.7849624060150375,0.9430766697766314,,0.29473684210526313,0.31278195488721805,0.4842105263157895
Marcussen_2011,0.7407407407407407,,,0.6874074074074075,0.6933333333333334,0.7377777777777779
Marcussen_2012,0.9642352941176471,,,,,
Marcussen_2015,0.9218274111675127,,,,,
Popp_2005,0.7790209790209791,,,0.17230769230769233,0.3138461538461539,0.40615384615384614
Ren_2024,0.8396694214876034,,,0.7041322314049586,0.7008264462809917,0.7008264462809917
Sessa_2012b,0.9105431309904153,,,0.6437699680511182,0.6313099041533546,0.6722044728434505
Shahrestani_2015,0.6110344827586207,0.689655172413793,0.16,0.16,0.16,0.20800000000000002
Soza_2014,0.9452574525745258,,,,,
Wisecaver_2023,0.44590163934426225,,,0.05245901639344262,0.05245901639344262,0.05245901639344262
Wu_2015,0.8729890329568528,0.8057142857142857,,0.3085714285714286,0.29333333333333333,0.26285714285714284
Zhao_2021,0.735042735042735,,,0.7264957264957265,0.6794871794871795,0.6039886039886041
