network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.023944155519351522,0.007644397634449158,0.01850617915702322,,0.025630687212149873,0.025630687212149873,0.025630687212149873
Brysting_2007,,0.015288795268898314,,,0.09486447986369861,0.08835812645060563,0.01776397483800539
Diaz-Perez_2018,,0.02451635863502701,,,0.054319592479851186,0.054319592479851186,0.02715979623992559
Ding_2023,0.09801941819177162,0.2042252721702946,0.31779640979475954,,0.2003936827168191,0.02292219250778293,0.0
Hori_2014,,0.08873001675315902,,,0.04780914437337573,0.025555062599997586,0.06543072014216254
Koenen_2020,0.01589004002666398,0.31545068066244664,0.060715757690365336,,0.13539209286644552,0.13389185716643803,0.24647495879903392
Lawrence_2016,,0.10212987991034013,,,0.006332052687920984,0.006332052687920984,0.0063320526879209705
Liang_2019,,0.01132186317721415,,,0.08468302922735592,0.07025031354689422,0.026282551058898602
Liu_2023,0.057655006053175376,0.045611280866475486,0.04252877991166474,,0.10665036527216326,0.08858151263171814,0.07623333446999443
Marcussen_2011,,0.09310966733315951,,,0.008114408259335801,0.006625386599999393,0.016228816518671533
Marcussen_2012,,0.016836276536468967,,,,,
Marcussen_2015,,0.01668190530472592,,,,,
Popp_2005,,0.03776223776223776,,,0.051486770863635414,0.11594734573179553,0.15292029095125143
Ren_2024,,0.050134713679679664,,,0.036213061653234124,0.03805244440734327,0.053047294333491576
Sessa_2012b,,0.011954176954549327,,,0.0845086675803652,0.07883026460468313,0.04895586277157307
Shahrestani_2015,0.1338656042454521,0.07354453785803185,0.08446516354424752,0.0,0.0,0.0,0.10733126291998993
Soza_2014,,0.04528259853486268,,,,,
Wisecaver_2023,0.061338645684818734,0.0854977364616741,,,0.07183246655805457,0.07183246655805457,0.07183246655805457
Wu_2015,0.039497983530148016,0.043653236325597276,0.04343525428949097,,0.03407341679999679,0.04173124247658409,0.0340734167999968
Zhao_2021,0.08339357892410575,0.20298020661603278,,,0.036261886214694776,0.13341731594265635,0.13710779960701955
