network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9471 ± 0.0259 (5),1.2000 ± 0.0206 (5),N/A ± 0 (0),0.9778 ± 0.0058 (5),0.9735 ± 0.0000 (5),0.9757 ± 0.0047 (5)
Brysting_2007,0.9455 ± 0.0254 (5),N/A ± 0 (0),N/A ± 0 (0),1.0131 ± 0.0045 (5),1.0131 ± 0.0045 (5),1.0090 ± 0.0055 (5)
Diaz-Perez_2018,0.9496 ± 0.0392 (5),N/A ± 0 (0),N/A ± 0 (0),0.4163 ± 0.0089 (5),0.4195 ± 0.0267 (5),0.4455 ± 0.0145 (5)
Ding_2023,0.9480 ± 0.0179 (5),0.9237 ± 0.2462 (5),N/A ± 0 (0),0.7645 ± 0.1047 (5),0.7500 ± 0.0935 (5),0.8511 ± 0.0000 (5)
Hori_2014,0.9704 ± 0.0166 (5),N/A ± 0 (0),N/A ± 0 (0),0.7593 ± 0.1348 (5),0.8111 ± 0.0203 (5),0.8185 ± 0.0155 (5)
Koenen_2020,0.6811 ± 0.3834 (5),1.1787 ± 0.0513 (5),N/A ± 0 (0),0.9568 ± 0.0592 (5),0.9480 ± 0.0524 (5),0.9459 ± 0.0506 (5)
Lawrence_2016,0.9012 ± 0.0260 (5),N/A ± 0 (0),N/A ± 0 (0),0.9132 ± 0.0107 (5),0.9247 ± 0.0250 (5),0.9156 ± 0.0151 (5)
Liang_2019,0.9539 ± 0.0180 (5),N/A ± 0 (0),N/A ± 0 (0),0.7063 ± 0.0389 (5),0.7492 ± 0.0692 (5),0.7305 ± 0.0804 (5)
Liu_2023,0.9467 ± 0.0199 (5),1.1970 ± 0.0254 (5),N/A ± 0 (0),0.7526 ± 0.0658 (5),0.7170 ± 0.0341 (5),0.8129 ± 0.0717 (5)
Marcussen_2011,0.9402 ± 0.0259 (5),N/A ± 0 (0),N/A ± 0 (0),1.0268 ± 0.0070 (5),1.0362 ± 0.0070 (5),1.0142 ± 0.0239 (5)
Marcussen_2012,0.9320 ± 0.0182 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9882 ± 0.0118 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.8623 ± 0.0587 (5),N/A ± 0 (0),N/A ± 0 (0),0.8918 ± 0.0359 (5),0.9004 ± 0.0552 (5),0.9142 ± 0.0485 (5)
Ren_2024,0.8878 ± 0.0134 (5),N/A ± 0 (0),N/A ± 0 (0),0.9214 ± 0.0271 (5),0.9357 ± 0.0271 (5),0.9101 ± 0.0124 (5)
Sessa_2012b,0.9432 ± 0.0089 (5),N/A ± 0 (0),N/A ± 0 (0),0.9234 ± 0.0060 (4),0.9256 ± 0.0130 (5),0.9142 ± 0.0147 (5)
Shahrestani_2015,0.7778 ± 0.1048 (5),1.2138 ± 0.1430 (5),0.5185 ± 0.0000 (4),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5),0.6370 ± 0.0994 (5)
Soza_2014,0.9575 ± 0.0099 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.6839 ± 0.0661 (5),N/A ± 0 (0),N/A ± 0 (0),0.6645 ± 0.0707 (5),0.6645 ± 0.0707 (5),0.6645 ± 0.0707 (5)
Wu_2015,0.9560 ± 0.0246 (5),1.1945 ± 0.0422 (5),N/A ± 0 (0),0.6972 ± 0.0410 (5),0.6789 ± 0.0502 (5),0.6422 ± 0.0410 (5)
Zhao_2021,0.7273 ± 0.1660 (5),N/A ± 0 (0),N/A ± 0 (0),0.9350 ± 0.0570 (2),0.9067 ± 0.0620 (4),0.8932 ± 0.0387 (3)
