network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.035807247228970635,0.025920526378657955,0.020628136179489873,,0.005796005899525566,0.0,0.004732418999999567
Brysting_2007,,0.025353334137396245,,,0.004494608999999619,0.004494608999999619,0.005504749321659998
Diaz-Perez_2018,,0.03915965716680416,,,0.008906057845612467,0.026718173536837354,0.014543531560974238
Ding_2023,0.028504385627478465,0.017888543819998333,0.24620012614653816,,0.1047133039926534,0.09354143466934851,0.0
Hori_2014,,0.01656346649999844,,,0.13481684980149108,0.020286020648339478,0.015493704195075494
Koenen_2020,0.03980486581674401,0.3833648265188572,0.05129435749779022,,0.059213249460017985,0.052404937773155295,0.050562937659107375
Lawrence_2016,,0.026000790436044037,,,0.0106506757456582,0.02502465366946192,0.015092788818019929
Liang_2019,,0.01798572567690834,,,0.0389059362437148,0.06924096708912653,0.08043461047646096
Liu_2023,0.021144850851061874,0.019876159799998138,0.025445280055285478,,0.06575508450717675,0.034106264987322485,0.0716523726677193
Marcussen_2011,,0.02587665626008661,,,0.007042733787400906,0.007042733787400891,0.023883072264729247
Marcussen_2012,,0.018163385372689033,,,,,
Marcussen_2015,,0.011768778828946279,,,,,
Popp_2005,,0.05865096334425678,,,0.03591623327902728,0.05523856018725269,0.048502739147224076
Ren_2024,,0.01335908676841869,,,0.02708169801446976,0.0270816980144698,0.012426703213898846
Sessa_2012b,,0.008922483043363377,,,0.0059839194234771066,0.012960275845829799,0.014684380579331083
Shahrestani_2015,0.0662538659999938,0.10475656017578483,0.1430099403677774,0.0,0.0,0.0,0.09938079899999068
Soza_2014,,0.009883173381214558,,,,,
Wisecaver_2023,0.0489217770583971,0.06610935978038449,,,0.07067387838776337,0.07067387838776337,0.07067387838776337
Wu_2015,0.026512822216226306,0.024617262137612356,0.04224170434209662,,0.041028770229353966,0.05024977591790516,0.041028770229353945
Zhao_2021,0.03904724551446031,0.16597653257732312,,,0.05697286606051455,0.062036287769840756,0.03868714992009013
