network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.7,0.8666666666666666,,0.0,0.0,0.0
Brysting_2007,,0.6857142857142857,,,0.0,0.0,0.0
Diaz-Perez_2018,,0.9794871794871796,,,0.0,0.0,0.0
Ding_2023,0.0,0.473015873015873,0.9142857142857143,,0.0,0.0,0.0
Hori_2014,,1.1722638146167559,,,0.0,0.0,0.0
Koenen_2020,0.0,0.2,1.2,,0.0,0.0,0.0
Lawrence_2016,,1.0933333333333333,,,0.0,0.0,0.0
Liang_2019,,1.0,,,0.0,0.0,0.0
Liu_2023,0.0,0.725,1.275,,0.0,0.0,0.0
Marcussen_2011,,0.9428571428571428,,,0.0,0.0,0.0
Marcussen_2012,,1.0298507462686568,,,,,
Marcussen_2015,,0.9705882352941175,,,,,
Popp_2005,,0.725,,,0.0,0.0,0.0
Ren_2024,,0.9333333333333333,,,0.0,0.0,0.0
Sessa_2012b,,1.08,,,0.0,0.0,0.0
Shahrestani_2015,0.0,0.55,2.0,0.0,0.0,0.0,0.0
Soza_2014,,1.0,,,,,
Wisecaver_2023,0.0,0.0,,,0.0,0.0,0.0
Wu_2015,0.0,0.7916666666666666,1.222222222222222,,0.0,0.0,0.0
Zhao_2021,0.0,0.3,,,0.0,0.0,0.0
