network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.5055250296034367,,0.0,0.0,0.0
Brysting_2007,0.04259177099999596,,,0.0,0.0,0.0
Diaz-Perez_2018,0.15099930117267132,,,0.0,0.0,0.0
Ding_2023,0.4201704533597564,0.5111012519999519,,0.0,0.0,0.0
Hori_2014,0.17584512576844222,,,0.0,0.0,0.0
Koenen_2020,0.447213595499958,0.0,,0.0,0.0,0.0
Lawrence_2016,0.014907119849998634,,,0.0,0.0,0.0
Liang_2019,0.0,,,0.0,0.0,0.0
Liu_2023,0.13693063937629155,0.4366062299143245,,0.0,0.0,0.0
Marcussen_2011,0.03194382824999699,,,0.0,0.0,0.0
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.020797258270192617,,,,,
Popp_2005,0.055901699437494734,,,0.0,0.0,0.0
Ren_2024,0.0,,,0.0,0.0,0.0
Sessa_2012b,0.0,,,0.0,0.0,0.0
Shahrestani_2015,0.1118033988749895,0.0,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,,
Wisecaver_2023,0.0,,,0.0,0.0,0.0
Wu_2015,0.13393959390267987,0.32394177193585,,0.0,0.0,0.0
Zhao_2021,0.28435782915193314,,,0.0,0.0,0.0
