network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9762 ± 0.0000 (5),0.9600 ± 0.0297 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,0.9926 ± 0.0010 (5),N/A ± 0 (0),N/A ± 0 (0),0.0556 ± 0.0000 (5),0.0556 ± 0.0000 (5),0.0556 ± 0.0000 (5)
Diaz-Perez_2018,0.9261 ± 0.0511 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,1.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5),N/A ± 0 (0),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.9073 ± 0.0688 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.2000 ± 0.4472 (5),1.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.2400 ± 0.3286 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.9550 ± 0.0112 (5),N/A ± 0 (0),N/A ± 0 (0),0.3600 ± 0.0548 (5),0.3600 ± 0.0548 (5),0.3600 ± 0.0548 (5)
Liang_2019,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0042 ± 0.0093 (5),0.0042 ± 0.0093 (5)
Liu_2023,0.9000 ± 0.0609 (5),0.9944 ± 0.0124 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0571 ± 0.0782 (5)
Marcussen_2011,0.8400 ± 0.0894 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9429 ± 0.0319 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.1714 ± 0.3833 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.3000 ± 0.2739 (5),0.4000 ± 0.2236 (5)
Ren_2024,0.6667 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.6111 ± 0.0000 (5),0.6111 ± 0.0000 (5),0.6067 ± 0.0617 (5)
Sessa_2012b,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0312 ± 0.0000 (4),0.0312 ± 0.0000 (5),0.0250 ± 0.0140 (5)
Shahrestani_2015,0.5667 ± 0.1491 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9189 ± 0.0602 (5),0.9575 ± 0.0527 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.3000 ± 0.2844 (5),N/A ± 0 (0),N/A ± 0 (0),0.8542 ± 0.0295 (2),0.5833 ± 0.3909 (4),0.5000 ± 0.4330 (3)
