network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9761904761904763,0.96,,0.0,0.0,0.0
Brysting_2007,0.9925925925925926,,,0.05555555555555556,0.05555555555555556,0.05555555555555556
Diaz-Perez_2018,0.8888888888888888,,,,,
Ding_2023,1.0,0.2,,1.0,1.0,0.0
Hori_2014,0.9073469387755102,,,0.0,0.0,0.0
Koenen_2020,0.2,1.0,,0.0,0.24,0.0
Lawrence_2016,0.9549999999999998,,,0.36,0.36,0.36
Liang_2019,1.0,,,0.0,0.004166666666666667,0.004166666666666667
Liu_2023,0.9,0.9944444444444445,,0.0,0.0,0.05714285714285714
Marcussen_2011,0.8400000000000001,,,,,
Marcussen_2012,1.0,,,,,
Marcussen_2015,0.9428571428571428,,,,,
Popp_2005,0.17142857142857143,,,0.0,0.3,0.4
Ren_2024,0.6666666666666666,,,0.6111111111111112,0.6111111111111112,0.6066666666666667
Sessa_2012b,1.0,,,0.03125,0.03125,0.025
Shahrestani_2015,0.5666666666666667,1.0,0.0,0.0,0.0,0.0
Soza_2014,1.0,,,,,
Wisecaver_2023,0.0,,,0.0,0.0,0.0
Wu_2015,0.9188811188811188,0.9574999999999999,,0.0,0.0,0.0
Zhao_2021,0.3,,,0.8541666666666667,0.5833333333333334,0.5
