network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.029697549468675796,,0.0,0.0,0.0
Brysting_2007,0.0010352166562499414,,,0.0,0.0,0.0
Diaz-Perez_2018,0.0,,,,,
Ding_2023,0.0,0.4472135954999579,,0.0,0.0,0.0
Hori_2014,0.06877884083257292,,,0.0,0.0,0.0
Koenen_2020,0.447213595499958,0.0,,0.0,0.3286335345030997,0.0
Lawrence_2016,0.011180339887498957,,,0.05477225575051663,0.05477225575051663,0.05477225575051664
Liang_2019,0.0,,,0.0,0.009316949906249122,0.009316949906249122
Liu_2023,0.060858061945018485,0.012422599874998844,,0.0,0.0,0.07824607964359515
Marcussen_2011,0.08944271909999156,,,,,
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.03194382824999699,,,,,
Popp_2005,0.383325938999964,,,0.0,0.2738612787525831,0.22360679774997896
Ren_2024,0.0,,,0.0,0.0,0.06166416411338493
Sessa_2012b,0.0,,,0.0,0.0,0.013975424859373685
Shahrestani_2015,0.14907119849998604,0.0,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,,
Wisecaver_2023,0.0,,,0.0,0.0,0.0
Wu_2015,0.06015103978053125,0.052737557774322465,,0.0,0.0,0.0
Zhao_2021,0.28435782915193314,,,0.029462782549439414,0.39086797998528583,0.4330127018922193
