network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9583 ± 0.0000 (5),0.9856 ± 0.0150 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.1228 ± 0.0294 (5),0.1139 ± 0.0251 (5),0.1552 ± 0.0030 (5)
Diaz-Perez_2018,0.9654 ± 0.0287 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0472 ± 0.0124 (5)
Ding_2023,1.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5),N/A ± 0 (0),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.9678 ± 0.0150 (5),N/A ± 0 (0),N/A ± 0 (0),0.0556 ± 0.0238 (5),0.0492 ± 0.0172 (5),0.0254 ± 0.0365 (5)
Koenen_2020,0.1319 ± 0.2950 (5),1.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.3000 ± 0.4108 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.9938 ± 0.0140 (5),N/A ± 0 (0),N/A ± 0 (0),0.5083 ± 0.1755 (5),0.4883 ± 0.1581 (5),0.4683 ± 0.1550 (5)
Liang_2019,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0599 ± 0.0393 (5),0.0590 ± 0.0452 (5),0.0635 ± 0.0318 (5)
Liu_2023,0.9208 ± 0.0799 (5),0.9936 ± 0.0143 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0556 ± 0.1242 (5),0.2898 ± 0.0454 (5)
Marcussen_2011,0.9197 ± 0.0461 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0733 ± 0.0183 (5)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9790 ± 0.0170 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.4000 ± 0.1491 (5),N/A ± 0 (0),N/A ± 0 (0),0.0667 ± 0.0913 (5),0.4167 ± 0.2282 (5),0.4833 ± 0.1900 (5)
Ren_2024,0.6667 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.7090 ± 0.0119 (5),0.6985 ± 0.0260 (5),0.6343 ± 0.0560 (5)
Sessa_2012b,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.1187 ± 0.0569 (4),0.1059 ± 0.0534 (5),0.1554 ± 0.0296 (5)
Shahrestani_2015,0.7400 ± 0.0224 (5),1.0000 ± 0.0000 (5),0.3750 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0500 ± 0.1118 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2500 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9306 ± 0.0586 (5),0.9763 ± 0.0324 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.3187 ± 0.2910 (5),N/A ± 0 (0),N/A ± 0 (0),0.8542 ± 0.0295 (2),0.5833 ± 0.3909 (4),0.5000 ± 0.4330 (3)
