network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9583333333333334,0.9855952380952381,,0.0,0.0,0.0
Brysting_2007,1.0,,,0.1228395061728395,0.11388888888888889,0.15524691358024692
Diaz-Perez_2018,0.9654320987654319,,,0.0,0.0,0.04722222222222222
Ding_2023,1.0,0.2,,1.0,1.0,0.0
Hori_2014,0.9677637721755369,,,0.05555555555555556,0.04920634920634921,0.025396825396825397
Koenen_2020,0.13194444444444445,1.0,,0.0,0.3,0.0
Lawrence_2016,0.99375,,,0.5082857142857142,0.48828571428571427,0.4682857142857143
Liang_2019,1.0,,,0.05990079365079365,0.05895502645502646,0.06351851851851852
Liu_2023,0.9208333333333334,0.9935897435897436,,0.0,0.05555555555555556,0.2898412698412699
Marcussen_2011,0.9196666666666667,,,0.0,0.0,0.07333333333333333
Marcussen_2012,1.0,,,,,
Marcussen_2015,0.9789965986394558,,,,,
Popp_2005,0.39999999999999997,,,0.06666666666666667,0.4166666666666667,0.4833333333333333
Ren_2024,0.6666666666666666,,,0.709047619047619,0.6985449735449736,0.6343310657596373
Sessa_2012b,1.0,,,0.11870659722222221,0.10590277777777776,0.15538194444444445
Shahrestani_2015,0.74,1.0,0.375,0.0,0.0,0.05
Soza_2014,1.0,,,,,
Wisecaver_2023,0.25,,,0.0,0.0,0.0
Wu_2015,0.9305555555555556,0.9763392857142857,,0.0,0.0,0.0
Zhao_2021,0.31875,,,0.8541666666666667,0.5833333333333334,0.5
