network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.07922708799145373,0.0,0.014984822673519202,,0.0,0.0,0.0
Brysting_2007,,0.0,,,0.02937373423255584,0.025059941856896955,0.003008269859508921
Diaz-Perez_2018,,0.02873852925181425,,,0.0,0.0,0.01242259987499883
Ding_2023,0.0,0.0,0.4472135954999579,,0.0,0.0,0.0
Hori_2014,,0.015009597235638035,,,0.023809523809523815,0.01720593919736413,0.03654242677213124
Koenen_2020,0.006693810481738525,0.29503674703122224,0.0,,0.0,0.4107919181288746,0.0
Lawrence_2016,,0.013975424859373677,,,0.17545199161179165,0.1581366841828731,0.15497333542863934
Liang_2019,,0.0,,,0.03934263597568118,0.045202760932613016,0.031816538079056884
Liu_2023,0.047256762926340456,0.07987620630283669,0.01433376908653712,,0.0,0.12422599874998833,0.04535507709609303
Marcussen_2011,,0.04610374773872023,,,0.0,0.0,0.01825741858350554
Marcussen_2012,,0.0,,,,,
Marcussen_2015,,0.01702964027855636,,,,,
Popp_2005,,0.14907119849998596,,,0.09128709291752768,0.22821773229381923,0.19002923751652304
Ren_2024,,0.0,,,0.011934706607298855,0.025955940406034966,0.05599543565164299
Sessa_2012b,,0.0,,,0.056884138226832734,0.05338365229695069,0.02955216064331459
Shahrestani_2015,0.21830311495716226,0.022360679774997918,0.0,0.0,0.0,0.0,0.1118033988749895
Soza_2014,,0.0,,,,,
Wisecaver_2023,0.07453559924999296,0.0,,,0.0,0.0,0.0
Wu_2015,0.025428427758546195,0.05856641594942016,0.03240837752300278,,0.0,0.0,0.0
Zhao_2021,0.01567668212717869,0.2909776086746195,,,0.029462782549439414,0.39086797998528583,0.4330127018922193
