network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.3900 ± 0.0224 (5),0.9073 ± 0.0267 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,0.6754 ± 0.0243 (5),N/A ± 0 (0),N/A ± 0 (0),0.0207 ± 0.0126 (5),0.0161 ± 0.0103 (5),0.0345 ± 0.0000 (5)
Diaz-Perez_2018,0.6788 ± 0.0409 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.1619 ± 0.1528 (5),0.1714 ± 0.1043 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.8526 ± 0.0235 (5),N/A ± 0 (0),N/A ± 0 (0),0.0213 ± 0.0000 (5),0.0213 ± 0.0000 (5),0.0085 ± 0.0117 (5)
Koenen_2020,0.0667 ± 0.1491 (5),0.3333 ± 0.0429 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.5065 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0349 ± 0.0206 (5),0.0349 ± 0.0206 (5),0.0349 ± 0.0206 (5)
Liang_2019,0.8465 ± 0.0127 (5),N/A ± 0 (0),N/A ± 0 (0),0.0421 ± 0.0294 (5),0.0353 ± 0.0273 (5),0.0356 ± 0.0211 (5)
Liu_2023,0.2593 ± 0.0370 (5),0.7526 ± 0.0812 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0138 ± 0.0308 (5),0.1241 ± 0.0189 (5)
Marcussen_2011,0.6091 ± 0.0943 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0800 ± 0.0000 (5)
Marcussen_2012,0.7108 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.5487 ± 0.1145 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.2160 ± 0.2147 (5),N/A ± 0 (0),N/A ± 0 (0),0.0308 ± 0.0421 (5),0.0769 ± 0.0000 (5),0.0462 ± 0.0421 (5)
Ren_2024,0.2500 ± 0.0625 (5),N/A ± 0 (0),N/A ± 0 (0),0.1705 ± 0.0143 (5),0.1786 ± 0.0108 (5),0.1142 ± 0.0210 (5)
Sessa_2012b,0.7165 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0397 ± 0.0229 (4),0.0331 ± 0.0248 (5),0.0611 ± 0.0192 (5)
Shahrestani_2015,0.2857 ± 0.1956 (5),0.5111 ± 0.2434 (5),0.1429 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0857 ± 0.1917 (5)
Soza_2014,0.7953 ± 0.0202 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2143 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.5415 ± 0.1405 (5),0.7087 ± 0.0707 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.2000 ± 0.1847 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (3)
