network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9952941176470589,0.39,0.9073112685611461,,0.0,0.0,0.0
Brysting_2007,,0.6753623188405797,,,0.020689655172413793,0.016091954022988506,0.034482758620689655
Diaz-Perez_2018,,0.678805120910384,,,0.0,0.0,0.0
Ding_2023,0.9365185185185185,0.1619047619047619,0.17142857142857143,,0.0,0.0,0.0
Hori_2014,,0.8526315789473683,,,0.02127659574468085,0.02127659574468085,0.00851063829787234
Koenen_2020,0.9891891891891891,0.06666666666666667,0.3333333333333333,,0.0,0.0,0.0
Lawrence_2016,,0.5064935064935064,,,0.03493827160493827,0.03493827160493827,0.03493827160493827
Liang_2019,,0.8465116279069769,,,0.042105263157894736,0.035305076851420585,0.03555681238494466
Liu_2023,0.9864367816091955,0.25925925925925924,0.7526179084073821,,0.0,0.013793103448275862,0.12413793103448276
Marcussen_2011,,0.6090909090909091,,,0.0,0.0,0.08
Marcussen_2012,,0.7108433734939759,,,,,
Marcussen_2015,,0.5487179487179488,,,,,
Popp_2005,,0.21600000000000003,,,0.03076923076923077,0.07692307692307693,0.046153846153846156
Ren_2024,,0.25,,,0.170534262485482,0.17862950058072008,0.1141919247182405
Sessa_2012b,,0.7165354330708661,,,0.039735099337748346,0.033112582781456956,0.06105077262693157
Shahrestani_2015,0.5857142857142857,0.2857142857142857,0.5111111111111111,0.14285714285714285,0.0,0.0,0.08571428571428572
Soza_2014,,0.7953488372093023,,,,,
Wisecaver_2023,1.0,0.21428571428571427,,,0.0,0.0,0.0
Wu_2015,0.9918367346938777,0.5414634146341464,0.7086868686868687,,0.0,0.0,0.0
Zhao_2021,0.9609756097560975,0.2,,,0.0,0.0,0.0
