network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.022360679774997894,0.02673274457947682,,0.0,0.0,0.0
Brysting_2007,0.02425101526185728,,,0.012591323161038302,0.01028077231034386,0.0
Diaz-Perez_2018,0.04088719055591516,,,0.0,0.0,0.0
Ding_2023,0.15282672891315438,0.10432810619146021,,0.0,0.0,0.0
Hori_2014,0.023537557657892543,,,0.0,0.0,0.01165367143628013
Koenen_2020,0.14907119849998596,0.04285495643554834,,0.0,0.0,0.0
Lawrence_2016,0.0,,,0.02062412099247848,0.02062412099247848,0.020624120992478477
Liang_2019,0.012737733895468915,,,0.029356492159090367,0.027301695444515106,0.021056872553743257
Liu_2023,0.037037037037037035,0.08121992388108068,,0.0,0.03084231693103158,0.018886984741557457
Marcussen_2011,0.09425655160603512,,,0.0,0.0,0.0
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.11453031317700743,,,,,
Popp_2005,0.2146625258399798,,,0.04213250442347432,0.0,0.04213250442347432
Ren_2024,0.0625,,,0.014313048078535213,0.010814498812529398,0.02100690635985987
Sessa_2012b,0.0,,,0.022941070298925528,0.024779187991880405,0.019223264286773453
Shahrestani_2015,0.1956151991089879,0.24343224778007383,0.0,0.0,0.0,0.19166296949998196
Soza_2014,0.020214581101403607,,,,,
Wisecaver_2023,0.0,,,0.0,0.0,0.0
Wu_2015,0.14053522235012617,0.07068397891327821,,0.0,0.0,0.0
Zhao_2021,0.18473234808246722,,,0.0,0.0,0.0
