method,metric,avg_value,avg_rank,num_best,num_worst,num_networks
padre,edit_distance,0.5185185185185185,1.0,1,0,1
grampa,edit_distance,0.8949128155585088,2.3,12,10,20
polyphest_p50,edit_distance,0.8312989903931371,2.4,3,1,15
polyphest_p90,edit_distance,0.8423054377737151,2.533333333333333,2,1,15
polyphest_p70,edit_distance,0.8327383162395676,2.6666666666666665,2,3,15
mpsugar,edit_distance,1.1512797490843034,5.0,0,5,6
polyphest_p50,num_rets_diff,0.6733333333333333,1.8666666666666667,6,1,15
padre,num_rets_diff,0.0,2.0,0,0,1
grampa,num_rets_diff,7.31,2.5,10,10,20
polyphest_p70,num_rets_diff,0.64,2.533333333333333,3,1,15
polyphest_p90,num_rets_diff,0.47111111111111115,3.0,1,3,15
mpsugar,num_rets_diff,3.6,4.666666666666667,0,5,6
polyphest_p50,ploidy_diff.dist,0.0,1.4,9,0,15
polyphest_p70,ploidy_diff.dist,0.0,1.8666666666666667,5,0,15
padre,ploidy_diff.dist,0.0,2.0,0,0,1
polyphest_p90,ploidy_diff.dist,0.0,3.066666666666667,0,1,15
grampa,ploidy_diff.dist,0.7724773254011621,3.15,6,13,20
mpsugar,ploidy_diff.dist,1.246362433862434,5.166666666666667,0,6,6
polyphest_p50,ret_leaf_jaccard.dist,0.1941388888888889,1.7333333333333334,7,1,15
padre,ret_leaf_jaccard.dist,0.0,2.0,0,0,1
polyphest_p70,ret_leaf_jaccard.dist,0.21236111111111114,2.6,3,1,15
polyphest_p90,ret_leaf_jaccard.dist,0.1339021164021164,2.6,3,2,15
grampa,ret_leaf_jaccard.dist,0.7613259531473818,2.9,7,12,20
mpsugar,ret_leaf_jaccard.dist,0.8519907407407407,4.5,0,4,6
polyphest_p50,ret_sisters_jaccard.dist,0.23301127461787186,2.1333333333333333,5,2,15
polyphest_p70,ret_sisters_jaccard.dist,0.25802261904761903,2.2,5,1,15
polyphest_p90,ret_sisters_jaccard.dist,0.18835570567733267,2.4,4,1,15
grampa,ret_sisters_jaccard.dist,0.8060852407629719,2.9,6,11,20
padre,ret_sisters_jaccard.dist,0.375,4.0,0,0,1
mpsugar,ret_sisters_jaccard.dist,0.8592540445665445,4.666666666666667,0,5,6
