Network,H_Strict,H_Relaxed,Num_Polyploids,Total_WGD,alloppnet_CompRate_%,alloppnet_EditDist_MULtree,alloppnet_RF,grampa_CompRate_%,grampa_EditDist_MULtree,grampa_RF,mpsugar_CompRate_%,mpsugar_EditDist_MULtree,mpsugar_RF,padre_CompRate_%,padre_EditDist_MULtree,padre_RF,polyphest_p50_CompRate_%,polyphest_p50_EditDist_MULtree,polyphest_p50_RF,polyphest_p70_CompRate_%,polyphest_p70_EditDist_MULtree,polyphest_p70_RF,polyphest_p90_CompRate_%,polyphest_p90_EditDist_MULtree,polyphest_p90_RF
Bendiksby_2011,6,6,6,6,100.0000,0.8699,0.9953,100.0000,0.9135,0.3900,100.0000,0.8879,0.9073,0.0000,,,100.0000,0.7541,0.0000,100.0000,0.7541,0.0000,100.0000,0.7541,0.0000
Brysting_2007,18,18,17,18,0.0000,,,100.0000,0.8919,0.6754,0.0000,,,0.0000,,,100.0000,0.3351,0.0207,100.0000,0.2984,0.0161,100.0000,0.4195,0.0345
Diaz-Perez_2018,9,9,9,12,0.0000,,,100.0000,0.8711,0.6788,0.0000,,,0.0000,,,100.0000,0.2215,0.0000,100.0000,0.2215,0.0000,100.0000,0.3934,0.0000
Ding_2023,0,0,7,1,100.0000,0.8329,0.9365,100.0000,0.5492,0.1619,100.0000,0.6137,0.1714,0.0000,,,100.0000,0.4110,0.0000,100.0000,0.5425,0.0000,100.0000,0.1644,0.0000
Hori_2014,7,7,7,7,0.0000,,,100.0000,0.8610,0.8526,0.0000,,,0.0000,,,100.0000,0.3352,0.0213,100.0000,0.3352,0.0213,100.0000,0.2933,0.0085
Koenen_2020,1,1,5,1,100.0000,0.7865,0.9892,100.0000,0.5077,0.0667,100.0000,0.7843,0.3333,0.0000,,,100.0000,0.5303,0.0000,100.0000,0.5393,0.0000,100.0000,0.3506,0.0000
Lawrence_2016,4,4,5,4,0.0000,,,100.0000,0.8026,0.5065,0.0000,,,0.0000,,,100.0000,0.5387,0.0349,100.0000,0.5387,0.0349,100.0000,0.5387,0.0349
Liang_2019,24,24,24,24,0.0000,,,100.0000,0.9755,0.8465,0.0000,,,0.0000,,,100.0000,0.5975,0.0421,100.0000,0.5688,0.0353,100.0000,0.4962,0.0356
Liu_2023,6,6,8,8,100.0000,0.9053,0.9864,100.0000,0.7850,0.2593,100.0000,0.9431,0.7526,0.0000,,,100.0000,0.2947,0.0000,100.0000,0.3128,0.0138,100.0000,0.4842,0.1241
Marcussen_2011,5,5,7,9,0.0000,,,100.0000,0.7407,0.6091,0.0000,,,0.0000,,,100.0000,0.6874,0.0000,100.0000,0.6933,0.0000,100.0000,0.7378,0.0800
Marcussen_2012,9,9,35,9,0.0000,,,100.0000,0.9642,0.7108,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Marcussen_2015,14,14,13,14,0.0000,,,100.0000,0.9218,0.5487,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Morales-Briones_2021,48,44,49,48,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Popp_2005,1,1,3,3,0.0000,,,100.0000,0.7790,0.2160,0.0000,,,0.0000,,,100.0000,0.1723,0.0308,100.0000,0.3138,0.0769,100.0000,0.4062,0.0462
Ren_2024,3,3,7,3,0.0000,,,100.0000,0.8397,0.2500,0.0000,,,0.0000,,,100.0000,0.7041,0.1705,100.0000,0.7008,0.1786,100.0000,0.7008,0.1142
Sessa_2012b,16,16,16,16,0.0000,,,100.0000,0.9105,0.7165,0.0000,,,0.0000,,,80.0000,0.6438,0.0397,100.0000,0.6313,0.0331,100.0000,0.6722,0.0611
Shahrestani_2015,2,2,2,2,100.0000,0.6080,0.5857,100.0000,0.6110,0.2857,100.0000,0.6897,0.5111,80.0000,0.1600,0.1429,100.0000,0.1600,0.0000,100.0000,0.1600,0.0000,100.0000,0.2080,0.0857
Soza_2014,25,26,22,26,0.0000,,,100.0000,0.9453,0.7953,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Wisecaver_2023,1,1,1,1,100.0000,0.7869,1.0000,100.0000,0.4459,0.2143,0.0000,,,0.0000,,,100.0000,0.0525,0.0000,100.0000,0.0525,0.0000,100.0000,0.0525,0.0000
Wu_2015,8,8,9,8,100.0000,0.8267,0.9918,100.0000,0.8730,0.5415,100.0000,0.8057,0.7087,0.0000,,,100.0000,0.3086,0.0000,100.0000,0.2933,0.0000,100.0000,0.2629,0.0000
Zhao_2021,1,1,14,1,100.0000,0.8103,0.9610,100.0000,0.7350,0.2000,0.0000,,,0.0000,,,40.0000,0.7265,0.0000,80.0000,0.6795,0.0000,60.0000,0.6040,0.0000
