Filename,Num_Species,Num_Polyploids,Max_Copies,H_Strict,H_Relaxed,H_Diff,Polyploid_Names
Bendiksby_2011.tre,40,6,2,6,6,0,"Lamiumamplexicaulevarorientale2, Lamiumconfertum1, Lamiumgaleobdolonsubspargentatum, Lamiumgaleobdolonsubspmontanum, Lamiumhybridum1, Lamiumhybridum3"
Koenen_2020.tre,18,5,2,1,1,0,"Albiziajulibrissin, Entadaabyssinica, Ingaspectabilis, Medicagotruncatula, Microlobiusfoetidus"
Brysting_2007.tre,27,17,3,18,18,0,"CerastiumalpinumAustria, CerastiumalpinumCanada, CerastiumalpinumNorway, CerastiumarcticumCanada, CerastiumarcticumNorway, CerastiumarvenseNorway, CerastiumbeeringianumEastCanada, CerastiumbeeringianumWestCanada, CerastiumeriophorumAustria, CerastiumfischerianumUSA, CerastiumgorodkovianumRussia, CerastiumnigrescensNorway, CerastiumnigrescensUnited, CerastiumpusillumRussia, CerastiumregeliiNorway, CerastiumuniflorumAustria, CerastiumvelutinumUSA"
Lawrence_2016.tre,38,5,3,4,4,0,"Penstemonazureus1111, Penstemonazureus1113, Penstemonazureus81, Penstemonazureus810, Penstemonazureus83"
Diaz-Perez_2018.tre,18,9,3,9,9,0,"Brachypodiumboissieri, Brachypodiumbolusii, Brachypodiumflexum, Brachypodiumhybridum, Brachypodiumkawakamii, Brachypodiummadagascariense, Brachypodiummexicanum, Brachypodiumphoenicoides, Brachypodiumretusum"
Wisecaver_2023.tre,15,1,2,1,1,0,UTEX2797
Ding_2023.tre,12,7,2,0,0,0,"Aro, CiP, Jma, Jmi, Jre, Pla, Rch"
Liang_2019.tre,31,24,4,24,24,0,"AspleniumaltajenseX1, AspleniumanogrammoidesA1, AspleniumanogrammoidesB3, AspleniumanogrammoidesD1, AspleniumanogrammoidesG1, AspleniumanogrammoidesJ1, AspleniumhopeiQ4, AspleniumkansuenseE1, AspleniumkukkoneniiQ5, AspleniumlaceiQ20, AspleniumpekinenseB5, AspleniumpekinenseI1, AspleniumpekinenseQ11, AspleniumpekunensexAspleniumsemivariansQ7, AspleniumsareliiC3, AspleniumsareliiD3, AspleniumsareliiD6, AspleniumsareliiN1, AspleniumtenuicaulealtajenseW1, AspleniumvariansQ13, AspleniumvariansQ14, AspleniumvariansQ15, AspleniumvariansS1, AspleniumxkidoiB1"
Popp_2005.tre,13,3,3,1,1,0,"Sileneinvolucrata, Sileneostenfeldii, Silenesorensenis"
Wu_2015.tre,18,9,2,8,8,0,"gerRCZ, glaWBB, intGT, likGHZ, maiDC, maiLY, regXAB, saxPM, sinKSKT"
Liu_2023.tre,26,8,2,6,6,0,"Ludwigiaarcuata, Ludwigialanceolata, Ludwigiamicrocarpa, Ludwigiaovalis, Ludwigiapilosa, Ludwigiarepens, Ludwigiasphaerocarpa, Ludwigiasuffruticosa"
Ren_2024.tre,16,7,4,3,3,0,"RSC01, RSC02, RSC03, RSC04, RSC05, RSC06, RSC07"
Marcussen_2011.tre,20,7,5,5,5,0,"bakeri, canadensis, douglasii, glabella, guadalupensis, sempervirens, uniflora"
Marcussen_2012.tre,39,35,9,9,9,0,"721palustris, 933palustris, blanda, chelmea, clauseniana, collina, diffusa, epipsila, glabella, grahamii, hirta, jalapaënsis, lanceolata, langsdorffii, laricicola, macloskeyi, mirabilis, occidentalis, pallens, papuana, pedata, primulifolia, principis, renifolia, repens, sagittata, selkirkii, somchetica, stagnina, striata, tracheliifolia, tuberifera, uliginosa, vaginata, verecunda"
Sessa_2012b.tre,54,16,3,16,16,0,"campyloptera, carthusiana, celsa, clintoniana, cristata, filix-mas, futura, huberi, karwinskyana, knoblochii, munchii, pseudofilix-mas, rosea, saffordii, salvinii, wallichiana"
